Source,NEW FORMAT,Linear A,,
HT40,MI-DA-NI,mdn,,
HT40,PA-JA,pj,,
HT40,PA-YA,py,,
HT40,TA-SE+SI-TE,tsst,,
HT40,SA-RO,sr,,
HT40,SU-DU,sd,,
HT40,RE-TU,rt,,
HT43,MA-SI-DU,msd,,
HT43,PA-[A342]-I,p342i,,
HT44a,I-QA-DWO,iqd,,
HT46a,MU-RU-[],mr999,,
Ht46a,KU-RO,kr,,
HT47a,KA-[]-TU,k999t,,
HT47a,NA-TU,nt,,
HT47a,U-[]-PI,u999p,,
HT47a,KI-DA-RO-[],kdr999,,
HT47a,MI-NU-MI,mnm,,
HT47b,RA-NA-RE-[],rnr999,,
HT49a,SA-RYA-DU,srd,,
HT49a,QA-RYA-DU,qrd,,
HT49a,TA-NA-TI,tnt,,
HT49a,SU-KI,sk,,
HT49a,TI-DU-NI,tdn,,
HT49a,[]-SI-RA,999sr,,
HT49a,A-RU,ar,,
HT49a,TU-SU-PHU,tsp,,
HT51b,KU-MU-TA,kmt,,
HT52,SA-MA,sm,,
HT52,TE,t,,
HT52,DI-KA-KI-[],dkk999,,
HT53a,SA-NE-[],sn999,,
HT53b,KU-RO,kr,,
HT54a,KU-MI-NA-QE-[],kmnq999,,
HT54a,[]-KI-MI-RA,999kmr,,
HT55a,KI-RO,kr,,
HT55a,MA-RE,mr,,
HT55a,TE,t,,
HT55a,SI-RU,sr,,
HT55b,[]-WE-JA,999wj,,
HT55b,[]-WE-YA,999wy,,
HT57a,DA-QE-RA-[],dqr999,,
HT58,QE-TI-RA-DU,qtrd,,
HT58,[]-U-KI,999uk,,
HT60,[]-TO-WA-TO,999twt,,
HT60,QA+PU-[A709],qp709,,
HT61,MI-TI-[A579],mt579,,
HT62,SA-RA,sr,,
HT62,TE,t,,
HT62,KA-KU,kk,,
HT62,I-TI,it,,
HT63,TE,t,,
HT63,KA-TI,kt,,
HT63,SU-PU,sp,,
HT64,KU-[]-NA,k999n,,
HT64,RU-MA-[],rm999,,
HT66,TA-MI-[],tm999,,
HT67,KU-RO,kr,,
HT73,PA-I-KI-[],pik999,,
HT73,SA-RO-QE-[],srq999,,
HT74,KU-RO,kr,,
HT75,KA-RU,kr,,
HT79,[]-TU-PA-RI,999tpr,,
HT79,[]-KU-NI-[],999kn999,,
HT80,JU-RA,jrm,,
HT80,YU-RA,yrm,,
HT81,A-SE,as,,
HT81,MI+JA+RU,mjr,,
HT81,MI+YA+RU,myr,,
HT81,RI-SU-MA-[A709]-KI,rsm709k,,
HT84,JA-DU-[],jd999,,
HT84,YA-DU-[],yd999,,
HT84,[]-NI-TI,999niti,,
HT85a,A-DU,ad,,
HT85a,DA-RI-DA,drd,,
HT85a,U-[A325]-ZA,u325z,,
HT85a,DA-SI,ds,,
HT85a,KU-[AB079]-NI,k079n,,
HT85a,TE-KE,tk,,
HT85a,DA-SI,ds,,
HT85a,KU-RO-[],kr999,,
HT85b,KI-KI-RA-JA,kkrj,,
HT85b,KI-KI-RA-YA,kkry,,
HT85b,KI-SI-TA,kst,,
HT85b,QE-KA,qk,,
HT85b,RO,r,,
HT85b,TE-TU-[],tt999,,
HT85b,KA,k,,
HT85b,DI,d,,
HT85b,[AB024]-ZA,024z,,
HT85b,SI-DI-SE,sds,,
HT85b,WA-DU-NI-MI,wdnm,,
HT85b,MA-DI,md,,
HT85b,QA-[A310]-I,q310i,,
HT86a,A-KA-RU,akr,,
HT86a,KU-NI-SI,kns,,
HT86a,SA-RU,sr,,
HT86a,DI-MA-RU,dmr,,
HT86a,QA-RA-WA,qrw,,
HT86a,A-DU,ad,,
HT86a,DA,d,,
HT86a,MI-NU-TE,mnt,,
HT86b,A-KA-RU,akr,,
HT86b,KU-NI-SI,kns,,
HT86b,SA-RU,sr,,
HT86b,DI-MA,dm ,,
HT87,TU-NE,tn,,
HT87,MA-KA-RI-TE,mkrt,,
HT87,PI-TA-KE-SI,ptks,,
HT87,JA-RE-MI,jrm,,
HT87,YA-RE-MI,yrm,,
HT87,DI-KI-SE,dks,,
HT87,QE-SU-PU,qsp,,
HT87,KU-RU-KU,krk,,
HT87,A-RA-[]-A-TU,ar999at,,
HT88,A-DU,ad,,
HT88,RE-ZA,rz,,
HT88,KI-KI-NA,kkn,,
HT88,[]-KI-RO,999kr,,
HT88,KU-[]-[],k999999,,
HT88,KA-JU,kj,,
HT88,KA-YU,ky,,
HT88,KU-[]-NU,k999n,,
HT88,PA-JA-RE,pjr,,
HT88,SA-MA-RO,smr,,
HT88,DA-TA-RE,dtr,,
HT88,KU-RO,kr,,
HT89,A-SA-RA,asr,,
HT89,MI+[A317]+QE,m317q,,
HT89,MA-I-MI,mim,,
HT89,TA-RA,tr,,
HT89,KU-RO,kr,,
HT90,I-KU-RI-NA-SA-RA,ikrnsr,,
HT90,NI,n,,
HT90,SI-RU-MA-RI-TA,srmrt,,
HT90,NI,n,,
HT91,I-KA,ik ,,
HT91,NU-[A304]-PA,n304p,,
HT91,[A302]+KI-PA,302kp,,
HT91,[A302]+U-PA,302up,,
HT91,A302+MI-PA,302mp,,
HT91,PA-E,pe,,
HT91,TE-WE,tw,,
HT91,[A302]+MI-PA-E-[],302mpe999,,
HT92,A-DU,ad,,
HT92,TE ,t,,
HT93a,[AB056]-NI-NA,056nn,,
HT93a,E+SE,es,,
HT93a,DI-WE-NA,dwn,,
HT93a,E+SE,es,,
HT93a,KI-DI-NI,kdn,,
HT93a,A-SE,as,,
HT93a,SA-RA,sr ,,
HT93a,QA-QA-RU,qqr,,
HT93a,MA-JU-KU,mjk,,
HT93a,MA-YU-KU,myk,,
HT93a,DA-RI-DA,drd,,
HT93a,[AB056]-NI-NA,056nn,,
HT93a,PA-SE-JA,psj,,
HT93a,PA-SE-YA,psy,,
HT93b,KI-RO,kr,,
HT94a,KA-PA,kp,,
HT94a,KU-RO,kr,,
HT94a,SA-RA,sr,,
HT94b,KI-RO,kr,,
HT94b,TU-MA,tm,,
HT94b,PA-TA-NE,ptn,,
HT94b,WA-DI,wd,,
HT94b,KE-KI-RU,kkr,,
HT94b,SA-RU,sr,,
HT94b,KU-RO,kr,,
HT94b,RA-[]-WA-ME-TE,r999wmt,,
HT94b,[AB012F]-TU-[],012t999,,
HT95a,DA-DU-MA-TA,ddmt,,
HT95a,DA-ME,dm,,
HT95a,MI-NU-TE,mnt,,
HT95a,SA-RU,sr,,
HT95a,KU-NI-SU,kns,,
HT95a,DI-WA-RU,dwr,,
HT95a,QE-RA-U,qru,,
HT95b,A-DU,ad,,
HT95b,SA-RU,sr,,
HT95b,DA-ME,dm,,
HT95b,MI-NU-TE,mnt,,
HT95b,KU-NI-SU,kns,,
HT95b,DI-WA-RU,dwr,,
HT95b,QE-RA-U,qru,,
HT96a,I-TI-TI-KU-NI,ittkn,,
HT96a,A-PA-RA-NE,aprn,,
HT96a,A-[AB123]-TE,a123t,,
HT96a,SI-MI-TA,smt,,
HT96a,RU-SA,rs,,
HT96a,PI-TA-RA,ptr,,
HT96a,KU-MA-RO,kmr,,
HT96a,[A323]-[A344],323344,,
HT96b,A-PA-RA-NE,aprn,,
HT96b,QA-[AB118]-RA-RE,q118rr,,
HT97a,KA-RU,kr,,
HT97a,KA-NU-TI,knt,,
HT97a,PA-U-[],pu999,,
HT97a,NA-TI,nt,,
HT97a,MA-DI,md,,
HT97a,TA-NI,tn,,
HT97a,WA-[],w999,,
HT97b,SA-[A332]-[],s332999,,
HT98a,WA,w,,
HT98a,TA-NA-TI,tnt,,
HT98a,DA-RE-DA-NA,drdn,,
HT98a,TE-[A301],t301,,
HT98a,RO-KE,rk,,
HT98a,KA-RI-[A310]-I,kr310i,,
HT98b,DA-RU-NE-TE,drnt,,
HT99a,A-DU,ad,,
HT99a,SA-RA,sr,,
HT99b,DA-SI-[AB118],ds118,,
HT99b,ZU-DU,zd,,
HT99b,RU-MA-TA,rmt,,
HT100,KU-RO,kr,,
HT100,SA-RA,sr,,
HT101,ZU-[]-DI,zxd,,
HT101,KU-[AB056],k056,,
HT102,KA-PA,kp,,
HT102,SA-RA,sr,,
HT102,[AB056]-NI,056n,,
HT102,DA-RI-NA,drn,,
HT102,MA-ZU,mz,,
HT102,I-KA,ik,,
HT102,KU-RO,kr,,
HT103,DA-KU-SE-NE,dksn,,
HT103,DA-KU-NA,dkn,,
HT103,DA-KU-SE-NE,dksn,,
HT103,KI-RA,kr,,
HT104,TA-PA,tp,,
HT104,DA-KU-SE-NE-KI,dksnk,,
HT104,I-DA-KI,idk,,
HT104,PA-DA-TU-KI,pdtk,,
HT104,KU-RO,kr,,
HT105,KA-PA,kp,,
HT105,SA-RA,sr,,
HT106,MI-NU-TE,mnt,,
HT108,KI-RE-TA-NA,krtn,,
HT108,DI-NA-RO,dnr,,
HT108,DU-SU-NI,dsn,,
HT109,KU-RO,kr,,
HT109,A-RA-JU,arj,,
HT109,A-RA-YU,ary,,
HT110a,SI-DU-[]-KU-MI,sd999km,,
HT110a,KU-PA,kp,,
HT110a,KU-RO,kr,,
HT111a,QE-KA,qk,,
HT111a,QA-SA,qs,,
HT111a,QA-QA-RU,qqr,,
HT111a,NI,n,,
HT111b,SA-DI,sd,,
HT112a,[AB021F],21,,
HT112a,TU-PA,tp,,
HT113,RA-RI-WA,rrw,,
HT113,WI-SA,ws,,
HT114a,KI-RI-TA,krt,,
HT114a,SA-RA,sr,,
HT115a,[AB047]-PU-RA-JA,047prj,,
HT115a,[AB047]-PU-RA-YA,047pry,,
HT115a,RI-TA-MA-PU-WI,rtmpw,,
HT115a,NA-[]-NE-MI-NA,n999nmn,,
HT115a,SE-KU-TU,skt,,
HT115a,PA-RA-NE,prn,,
HT115a,A-SE-JA,asj,,
HT115a,A-SE-YA,asy,,
HT115a,KA-PO-RU,kpr,,
HT115b,PA-RA-NE,prn,,
HT115b,TI-NU-JA,tnj,,
HT115b,TI-NU-YA,tny,,
HT115b,NU-WI,nw,,
HT115b,DU-[AB056]-NA,d056n,,
HT115b,KU-RU-MA,krm,,
HT115b,RA-TU-JA,rtj,,
HT115b,RA-TU-YA,rty,,
HT115b,KU-TA,kt,,
HT116a,U-TA-RO,utr,,
HT116a,KU-PA-JA,kpj,,
HT116a,KU-PA-YA,kpy,,
HT116a,PU-RA,pr,,
HT116a,TU-[]-TE,t999t,,
HT116a,SI-KI-NE,skn,,
HT116a,QA-NU-MA,qnm,,
HT116b,KU-RO,kr,,
HT117a,MA-KA-RI-TE,mkrt,,
HT117a,KI-RO,kr,,
HT117a,U-MI-NA-SI,umns,,
HT117a,U-SU,us,,
HT117a,MI-TU,mt,,
HT117a,KU-RA-QI,krq,,
HT117a,MA-RU,mr,,
HT117a,KU-RA-NU,krn,,
HT117a,TU-JU-MA,tjm,,
HT117a,TU-YU-MA,tym,,
HT117a,U-DI-MI,udm,,
HT117a,MI-RU-TA-RA-RE,mrtrr,,
HT117a,TE-JA-RE,tjr,,
HT117a,TE-YA-RE,tyr,,
HT117a,NA-DA-RE,ndr,,
HT117a,KU-RO,kr,,
HT117a,KU-KU-DA-RA,kkdr,,
HT117a,KO-SA-I-TI,ksit,,
HT117a,DA-MI-NU,dmn,,
HT117a,DA-NE-KU-TI,dnkt,,
HT117a,KI-DA-RO,kdr,,
HT117b,[AB021F]-TU-NE,012tn,,
HT117b,KU-RE-JU,krj,,
HT117b,KU-RE-YU,kry,,
HT117b,DI-KI-SE,dks,,
HT118,I-MA-DI,imd,,
HT118,QA-QA-RU,qqr,,
HT118,A-[A703D]-SU,a703s,,
HT118,[A703D]-RU-MA,703rm,,
HT118,KU-RO,kr,,
HT119,RI-MI-SI,rms,,
HT119,KO-JA,kj,,
HT119,KU-[AB056]-NA-TU,k0567nt,,
HT119,JA-[A345],j345,,
HT119,YA-[A345],y345,,
HT119,JA-[AB047]+DA,j047d,,
HT119,YA-[AB047]+DA,y047d,,
HT119,[]-TU,999t,,
HT119,KU-RO,kr,,
HT120,DA-QE-RA,dqr,,
HT120,DA-[AB013],d013,,
HT120,DA-U-[AB049],du049,,
HT120,[A028B]-[A574],28574,,
HT120,[A028B]-[A120]+PA,028120p,,
HT120,KI-SI-TA-NA-[A580],kstn580,,
HT120,KI-SI-TA-NA-[A120]+RO,kstn120r,,
HT120,PA-I-TO,pit,,
HT121,KI-RI-TA,krt,,
HT121,[A302]-QE-DI,302qd,,
HT121,SA-RYA-[AB120],sr120,,
HT122a,RA-RI,rr,,
HT122a,U-DE-ZA,udz,,
HT122a,DA-SI,ds,,
HT122a,DI-I-TE-KI,ditk,,
HT122a,QA-[A310]-I,q310i,,
HT122a,JA-MI-DA-RE,jmdr,,
HT122a,YA-MI-DA-RE,ymdr,,
HT122a,SI-DA-RE,sdr,,
HT122a,NU-DI-RA,ndr,,
HT122a,PA-DE,pd,,
HT122a,KU-[AB056]-NU,k056n,,
HT122a,PA-TA-NE,ptn,,
HT122a,[]-TU,999t,,
HT122a,DU-I-KU-[AB056]-NU,dik056n,,
HT122a,KU-RO,kr,,
HT122a,KU-DA,kd,,
HT122b,JE-DI,jd,,
HT122b,YE-DI,yd,,
HT122b,[]-KI-TA,999kt,,
HT122b,A-RA-[]-U-DE-ZA,ar999udz,,
HT122b,QA-QA-RU,qqr,,
HT122b,DA-RE,dr,,
HT122b,KU-RO,kr,,
HT122b,PO-TO-KU-RO,ptkr,,
HT123a,KI-TA-I,kti,,
HT123a,KI-RO,kr,,
HT123a,PU-[AB131A]-[AB122],p131122,,
HT123a,KI-RO,kr,,
HT123a,SA-RU-[AB122],sr122,,
HT123a,KI-RO,kr,,
HT123a,DA-TU-[AB122],dt122,,
HT123a,KI-RO,kr,,
HT123a,KU-RO-[AB122],kr122,,
HT123a,KU-RO,kr,,
HT123a,KI-RO,kr,,
HT123b,TI-DA-TA,tdt,,
HT123b,PI-SA,ps,,
HT123b,[AB188]-DU,188d,,
HT123b,TU-PA-DI-DA,tpdd,,
HT123b,KA-NA-[]-SI-DU-PA-DU-MA-I-NA,kn999sdpdmin,,
HT123b,KU-RO,kr,,
HT123b,KI-RO,kr,,
HT125a,[A302]+KI,302k,,
HT125a,[A302]+U,302u,,
HT125a,[A302]+MI,302m,,
HT125a,SA-RYA-[AB120],sr120,,
HT125b,RE-TA-[AB574],rt574,,
HT125b,RE-TA-[AB120]+PA,rt120p,,
HT126a,DA-NA-SI,dns,,
HT126a,A-NA-[],an999,,
HT126a,SI-DI-JA,sdj,,
HT126a,SI-DI-YA,sdy,,
HT126a,U-[AB049],u049,,
HT127a,DU-NE-MI,dnm,,
HT127a,[A629]-DA-[AB047]-KU,629d047k,,
HT127b,KU-RO,kr,,
HT127b,KU-RO,kr,,
HT128a,PA-RA,pr,,
HT128a,TU-RU-NU-I,trni,,
HT128a,WA-TU-MA-RE-[AB120]+KU,wtmr120k,,
HT128a,WA-TU-MA-RE-[A579],wtmr579,,
HT128a,MI-TA-[A574],mt574,,
HT128a,MI-TA-[AB120]+PA,mt120p,,
HT128a,MA-RI,mr,,
HT128b,RE-[]-[]-[A579],r999999579,,
HT128b,RE-[]-[]-[AB120]+KU,re999999120k,,
HT129,KI-RE-TA-[AB120],krt120,,
HT129,TU-[AB021F],t021,,
HT129,NA-[AB120],n120,,
HT130,SA-RYA-[A303],sr303,,
HT130,KU-RO,kr,,
HT130,SI-[A303],s303,,
HT130,SI-QA,sq,,
HT130,I-QA,iq,,
HT131b,PO-TO-KU-RO,ptkr,,
HT132,A-SE,as,,
HT132,QA-RE-TO,qrt,,
HT135a,NE-MI-NA,nmn,,
HT135a,MI-TU,mt,,
HT135a,MI-KA,mk,,
HT135a,NA-[]-NE,n999n,,
HT135b,TA-NE,tn,,
HT137,TA-[AB120],t120,,
HT140,U-[AB034]-SI,u034s,,
HT140,[AB086]-SI-NI,086sn,,
HT140,JE-DI,jd,,
HT140,YE-DI,yd,,
HT140,U-[AB034]-SI,u034s,,
HT140,[AB086]-SI-[AB118]-KA,086s118k,,
HT140,KA-[]-MA-[]-KA,k999m999k,,
HT140,KA-PA,kp,,
HT141,A-RI,ar,,
HT141,RU-DI,rd,,
HT146,RI-KA-TA,rkt,,
HT154a,TU-ME-PA-JA,tmpj,,
HT154a,TU-ME-PA-YA,tmpy,,
HT154Ja,NU-RE,nr,,
HT154Ja,NU-I,ni,,
HT154Ja,NU-TE,nt,,
KE1,KA-SA,ks,,
KN1a,JA-KU-TI-E,jkte,,
KN1a,YA-KU-TI-E,ykte,,
KN1b,JA-DU-RA-TI-E,jdrte,,
