Table 1
Identical Matches,Dictionary Word,Linear A word,Frequency,Percentage(%)
sk,"['-', ['iski'], '-', ['esku'], '-', '-', ['sak', 'sek', 'sik', 'suk', 'suka', 'sVk']]","['-', ['SUKI', 'SIKA'], '-', ['SUKI', 'SIKA'], '-', '-', ['SK']]","[['-'], [1, 1], ['-'], [1, 1], ['-'], ['-'], [2]]","[[['-'], [16.7, 16.7], ['-'], [16.7, 16.7], ['-'], ['-'], [33.3]]]"
kw,"['-', ['kuwa'], '-', '-', '-', '-', ['kaw', 'kaw', 'kaw', 'kaw', 'kew', 'kuw', 'kVw ']]","['-', ['KUWA'], '-', '-', '-', '-', ['KW']]","[['-'], [1], ['-'], ['-'], ['-'], ['-'], [1]]","[[['-'], [50.0], ['-'], ['-'], ['-'], ['-'], [50.0]]]"
mz,"['-', ['maz'], '-', '-', '-', '-', '-']","['-', ['MAZU', 'MAZA5', 'MEZA'], '-', '-', '-', '-', '-']","[['-'], [1, 1, 1], ['-'], ['-'], ['-'], ['-'], ['-']]","[[['-'], [33.3, 33.3, 33.3], ['-'], ['-'], ['-'], ['-'], ['-']]]"
nt,"['-', ['nata'], '-', '-', ['ant'], '-', ['nuta']]","['-', [']NITA[', 'NATI', 'NUTE', 'NATU', 'NUTI1'], '-', '-', [']NITA[', 'NATI', 'NUTE', 'NATU', 'NUTI1'], '-', ['NT']]","[['-'], [1, 1, 1, 1, 1], ['-'], ['-'], [1, 1, 1, 1, 1], ['-'], [5]]","[[['-'], [6.7, 6.7, 6.7, 6.7, 6.7], ['-'], ['-'], [6.7, 6.7, 6.7, 6.7, 6.7], ['-'], [33.3]]]"
nw,"['-', ['newa'], ['nawa'], '-', '-', '-', ['naVw', 'naw']]","['-', ['NUWI'], ['NUWI'], '-', '-', '-', ['NW']]","[['-'], [1], [1], ['-'], ['-'], ['-'], [1]]","[[['-'], [33.3], [33.3], ['-'], ['-'], ['-'], [33.3]]]"
pd,"['-', ['peda'], '-', '-', '-', ['apadia'], ['ped', 'poad', 'pVd']]","['-', ['PADE'], '-', '-', '-', ['PADE'], ['PD']]","[['-'], [3], ['-'], ['-'], ['-'], [3], [4]]","[[['-'], [30.0], ['-'], ['-'], ['-'], [30.0], [40.0]]]"
prn,"['-', ['peran'], '-', '-', '-', ['pirnaie'], '-']","['-', ['PARANE'], '-', '-', '-', ['PARANE'], '-']","[['-'], [2], ['-'], ['-'], ['-'], [2], ['-']]","[[['-'], [50.0], ['-'], ['-'], ['-'], [50.0], ['-']]]"
pt,"['-', ['peta'], '-', '-', '-', ['apata'], ['pat', 'pit']]","['-', [']PATA'], '-', '-', '-', [']PATA'], [']PT']]","[['-'], [1], ['-'], ['-'], ['-'], [1], [1]]","[[['-'], [33.3], ['-'], ['-'], ['-'], [33.3], [33.3]]]"
r,"['-', '-', ['ara'], ['ar'], ['reu'], ['uri'], ['or', 'ra', 're', 'ri', 'ro', 'ru', 'rV']]","['-', '-', ['RO'], ['RO'], ['RO'], ['RO'], ['R']]","[['-'], ['-'], [3], [3], [3], [3], [6]]","[[['-'], ['-'], [16.7], [16.7], [16.7], [16.7], [33.3]]]"
srr,"['-', '-', ['sarra'], '-', '-', '-', '-']","['-', '-', ['SARARA', 'SIRERE'], '-', '-', '-', '-']","[['-'], ['-'], [1, 1], ['-'], ['-'], ['-'], ['-']]","[[['-'], ['-'], [50.0, 50.0], ['-'], ['-'], ['-'], ['-']]]"
