name,site,support,context,scribe,findspot,parsedInscription,transcription,translatedWords,transliteratedWords,words
"HT74","Haghia Triada","Tablet","LMIB","HT Scribe 24","Villa Magazine","𐝫 𐝫 𐝫𐙂𐘁𐄑𐝫 𐝫","𐝫 𐝫 𐝫𐙂𐘁𐄑𐝫 𐝫","𐝫| |𐝫| |""total""|20| |𐝫","𐝫| |𐝫| |KU-RO|20| |𐝫","𐝫| |𐝫| |𐝫𐙂𐘁|𐄑𐝫| |𐝫"
"HT75","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐘾𐘘𐝫 — 𐝫","𐘾𐘘𐝫 — 𐝫","KA-RU| |—| |𐝫","KA-RU| |—| |𐝫","𐘾𐘘𐝫| |—| |𐝫"
"HT78","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐝫 — 𐝫𐘕𐙢𐝫 — 𐝫","𐝫 — 𐝫𐘕𐙢𐝫 — 𐝫","𐝫| |—| |MU-*312| |—| |𐝫","𐝫| |—| |MU-*312| |—| |𐝫","𐝫| |—| |𐝫𐘕𐙢𐝫| |—| |𐝫"
"HT79+83","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐝫𐘚𐄁𐙙𐝫 𐝫𐘾𐄁 𐘀𐘰𐝫 𐝫𐘹𐘂𐘭𐄇𐝫 𐝫𐘹𐝫𐄁𐝫𐄉 𐝫𐙂𐘝𐝫 𐝫𐙀𐄉 𐝫","𐝫𐘚𐄁𐙙𐝫𐘾𐄁𐘀𐘰 𐝫𐘹𐘂𐘭𐄇𐝫𐘹𐝫𐄁𐝫𐄉 𐝫𐙂𐘝𐝫𐙀𐄉 𐝫","I|𐄁|*305| |KA|𐄁| |DA-PA₃| |TU-PA-RI|1| |TU|𐄁|3| |KU-NI| |ZU|3| |𐝫","I|𐄁|*305| |KA|𐄁| |DA-PA₃| |TU-PA-RI|1| |TU|𐄁|3| |KU-NI| |ZU|3| |𐝫","𐝫𐘚|𐄁|𐙙𐝫| |𐝫𐘾|𐄁| |𐘀𐘰𐝫| |𐝫𐘹𐘂𐘭|𐄇𐝫| |𐝫𐘹𐝫|𐄁|𐝫𐄉| |𐝫𐙂𐘝𐝫| |𐝫𐙀|𐄉| |𐝫"
"HT80","Haghia Triada","Tablet","LMIB","HT Scribe 13","Villa Magazine","𐝫 𐝫𐘶𐘴𐝫 𐝫 𐝫","𐝫 𐝫𐘶𐘴𐝫 𐝫","𐝫| |JU-RA| |𐝫| |𐝫","𐝫| |JU-RA| |𐝫| |𐝫","𐝫| |𐝫𐘶𐘴𐝫| |𐝫| |𐝫"
"HT81","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐘇𐘈𐄁𐛚𐄁𐝅𐝫 𐝫𐘭𐘲𐙁𐝋 𐘸𐝫 𐝫","𐘇𐘈𐄁𐛚𐄁𐝅𐝫 𐝫𐘭𐘲𐙁𐝋𐘸𐝫 𐝫","A-SE|𐄁|liquid?|𐄁|≈ ¹⁄₆| |RI-SU-MA|𐝋| |KI| |𐝫","A-SE|𐄁|MI+JA+RU|𐄁|≈ ¹⁄₆| |RI-SU-MA|𐝋| |KI| |𐝫","𐘇𐘈|𐄁|𐛚|𐄁|𐝅𐝫| |𐝫𐘭𐘲𐙁|𐝋| |𐘸𐝫| |𐝫"
"HT82","Haghia Triada","Tablet","LMIB","HT Scribe 3","Villa Magazine","𐝫 𐝫𐛮𐝇𐝫 𐜜𐝃𐝫 𐝫","𐝫 𐝫𐛮𐝇𐝫 𐜜𐝃𐝫 𐝫","𐝫| |grain|¹⁄₁₆| |*304+[ ]|¹⁄₄| |𐝫","𐝫| |GRA+QIf|¹⁄₁₆| |*304+[ ]|¹⁄₄| |𐝫","𐝫| |𐝫𐛮|𐝇𐝫| |𐜜|𐝃𐝫| |𐝫"
"HT84","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐘐𐘱𐘬𐝫 𐝫𐘯𐘠𐄁𐙇𐝫 𐝫 𐝫","𐘐𐘱𐘬𐝫 𐝫𐘯𐘠𐄁𐙇𐝫 𐝫 𐝫","*21F-JA-DU| |NU-TI|𐄁|VIR+[?]| |𐝫| |𐝫","*21F-JA-DU| |NU-TI|𐄁|VIR+[?]| |𐝫| |𐝫","𐘐𐘱𐘬𐝫| |𐝫𐘯𐘠|𐄁|𐙇𐝫| |𐝫| |𐝫"
"HT85a","Haghia Triada","Tablet","LMIB","HT Scribe 9","Casa Room 7","𐘇𐘬𐄁𐜠𐄁𐙇𐄁 𐘀𐘭𐘀𐄐𐄈 𐘰𐘝𐄐𐄈 𐘉𐙱𐘍𐄌 𐘀𐘤𐙈𐄑𐄊 𐙂𐙀𐘝𐄋 𐘃𐘥𐄉 𐘀𐘙𐄊 𐙂𐘁𐝫𐝫𐄕𐄌","𐘇𐘬𐄁𐜠𐄁𐙇𐄁 𐘀𐘭𐘀𐄐𐄈𐘰𐘝𐄐𐄈 𐘉𐙱𐘍𐄌𐘀𐘤 𐙈𐄑𐄊𐙂𐙀𐘝𐄋 𐘃𐘥𐄉𐘀𐘙𐄊 𐙂𐘁𐝫𐄕𐄌","""assessment""?|𐄁|*307+*387|𐄁|VIR+[?]|𐄁| |DA-RI-DA|12| |PA₃-NI|12| |U-*325-ZA|6| |DA-SI-*118|24| |KU-ZU-NI|5| |TE-KE|3| |DA-RE|4| |""total""|66","A-DU|𐄁|*307+*387|𐄁|VIR+[?]|𐄁| |DA-RI-DA|12| |PA₃-NI|12| |U-*325-ZA|6| |DA-SI-*118|24| |KU-ZU-NI|5| |TE-KE|3| |DA-RE|4| |KU-RO|66","𐘇𐘬|𐄁|𐜠|𐄁|𐙇|𐄁| |𐘀𐘭𐘀|𐄐𐄈| |𐘰𐘝|𐄐𐄈| |𐘉𐙱𐘍|𐄌| |𐘀𐘤𐙈|𐄑𐄊| |𐙂𐙀𐘝|𐄋| |𐘃𐘥|𐄉| |𐘀𐘙|𐄊| |𐙂𐘁𐝫|𐝫𐄕𐄌"
"HT85b","Haghia Triada","Tablet","LMIB","HT Scribe 9","Casa Room 7","𐘸𐘸𐘴𐘱𐄁 𐘸𐘙𐘷𐄇 𐘿𐘾𐄇 𐘂𐄇 𐘃𐘹𐝫𐄇 𐘾𐄇 𐘆𐄇 𐘋𐘍𐄇 𐘙𐘆𐘈𐄇 𐘮𐘬𐘝𐘻𐄇 𐙁𐘆𐄇 𐘌𐙠𐘚𐄇","𐘸𐘸𐘴𐘱𐄁𐘸𐘙 𐘷𐄇𐘿𐘾𐄇𐘂𐄇𐘃𐘹 𐝫𐄇𐘾𐄇𐘆𐄇𐘋𐘍𐄇 𐘙𐘆𐘈𐄇𐘮𐘬𐘝 𐘻𐄇𐙁𐘆𐄇𐘌𐙠 𐘚𐄇","KI-KI-RA-JA|𐄁| |KI-RE-TA₂|1| |QE-KA|1| |PA|1| |TE-TU|1| |KA|1| |DI|1| |ME-ZA|1| |RE-DI-SE|1| |WA-DU-NI-MI|1| |MA-DI|1| |QA-*310-I|1","KI-KI-RA-JA|𐄁| |KI-RE-TA₂|1| |QE-KA|1| |PA|1| |TE-TU|1| |KA|1| |DI|1| |ME-ZA|1| |RE-DI-SE|1| |WA-DU-NI-MI|1| |MA-DI|1| |QA-*310-I|1","𐘸𐘸𐘴𐘱|𐄁| |𐘸𐘙𐘷|𐄇| |𐘿𐘾|𐄇| |𐘂|𐄇| |𐘃𐘹𐝫|𐄇| |𐘾|𐄇| |𐘆|𐄇| |𐘋𐘍|𐄇| |𐘙𐘆𐘈|𐄇| |𐘮𐘬𐘝𐘻|𐄇| |𐙁𐘆|𐄇| |𐘌𐙠𐘚|𐄇"
"HT86a","Haghia Triada","Tablet","LMIB","HT Scribe 6","Casa Room 7","𐘇𐘾𐘘𐄁 𐙂𐘝𐘲𐛷𐄑 𐘞𐘘𐄑 𐘆𐘦𐘘𐄑 𐘌𐘽𐘮𐄐 — 𐘇𐘬𐄁 𐘀𐘋𐛳𐄑 𐘻𐘯𐘃𐄑","𐘇𐘾𐘘𐄁𐙂𐘝 𐘲𐛷𐄑𐘞𐘘𐄑 𐘆𐘦𐘘𐄑𐘌𐘽𐘮𐄐 — 𐘇𐘬𐄁𐘀𐘋𐛳𐄑 𐘻𐘯𐘃𐄑","A-KA-RU|𐄁| |Kunisu (a place)|grain|20| |SA-RU|20| |DI-DE-RU|20| |QA-RA₂-WA|10| |—| |""assessment""?|𐄁| |DA-ME|grain|20| |MI-NU-TE|20","A-KA-RU|𐄁| |KU-NI-SU|GRA+K+L|20| |SA-RU|20| |DI-DE-RU|20| |QA-RA₂-WA|10| |—| |A-DU|𐄁| |DA-ME|GRA+B|20| |MI-NU-TE|20","𐘇𐘾𐘘|𐄁| |𐙂𐘝𐘲|𐛷|𐄑| |𐘞𐘘|𐄑| |𐘆𐘦𐘘|𐄑| |𐘌𐘽𐘮|𐄐| |—| |𐘇𐘬|𐄁| |𐘀𐘋|𐛳|𐄑| |𐘻𐘯𐘃|𐄑"
"HT86b","Haghia Triada","Tablet","LMIB","HT Scribe 6","Casa Room 7","𐘇𐘾𐘘𐄁 𐙂𐘝𐘲𐛷𐄑 𐘞𐘘𐄑 𐘆𐘦","𐘇𐘾𐘘𐄁𐙂𐘝 𐘲𐛷𐄑𐘞𐘘𐄑 𐘆𐘦","A-KA-RU|𐄁| |Kunisu (a place)|grain|20| |SA-RU|20| |DI-DE","A-KA-RU|𐄁| |KU-NI-SU|GRA+K+L|20| |SA-RU|20| |DI-DE","𐘇𐘾𐘘|𐄁| |𐙂𐘝𐘲|𐛷|𐄑| |𐘞𐘘|𐄑| |𐘆𐘦"
"HT87","Haghia Triada","Tablet","LMIB","HT Scribe 9","Casa Room 7","𐘐𐘹𐘗𐄁𐙁𐘾𐘭𐘃𐄁 𐘢𐘳𐘥𐘤𐄇 𐘱𐘙𐘻𐄇 𐘆𐘸𐘈𐄇 𐘿𐘲𐘫𐄇 𐙂𐘘𐙂𐄇 𐘇𐘴𐝫𐄁𐝫𐘇𐘹𐄇","𐘐𐘹𐘗𐄁𐙁𐘾 𐘭𐘃𐄁𐘢𐘳𐘥𐘤𐄇 𐘱𐘙𐘻𐄇𐘆𐘸𐘈𐄇 𐘿𐘲𐘫𐄇𐙂𐘘𐙂𐄇 𐘇𐘴𐝫𐄁𐝫𐘇𐘹𐄇","*21F-TU-NE|𐄁|MA-KA-RI-TE|𐄁| |PI-TA-KE-SI|1| |JA-RE-MI|1| |DI-KI-SE|1| |QE-SU-PU|1| |KU-RU-KU|1| |A-RA|𐄁|A-TU|1","*21F-TU-NE|𐄁|MA-KA-RI-TE|𐄁| |PI-TA-KE-SI|1| |JA-RE-MI|1| |DI-KI-SE|1| |QE-SU-PU|1| |KU-RU-KU|1| |A-RA|𐄁|A-TU|1","𐘐𐘹𐘗|𐄁|𐙁𐘾𐘭𐘃|𐄁| |𐘢𐘳𐘥𐘤|𐄇| |𐘱𐘙𐘻|𐄇| |𐘆𐘸𐘈|𐄇| |𐘿𐘲𐘫|𐄇| |𐙂𐘘𐙂|𐄇| |𐘇𐘴𐝫|𐄁|𐝫𐘇𐘹|𐄇"
"HT88","Haghia Triada","Tablet","LMIB","HT Scribe 7","Casa Room 7","𐘇𐘬𐛧𐄑 𐘙𐘍𐄌 𐘝𐄁𐘸𐘸𐘅𐄍 𐘸𐘁𐄁 𐙂𐘰𐘰𐄇 𐘾𐘶𐄇 𐙂𐘰𐘯𐄇 𐘂𐘱𐘙𐄇 𐘞𐙁𐘁𐄇 𐘀𐘳𐘙𐄇 𐙂𐘁𐄌","𐘇𐘬𐛧𐄑𐘙𐘍 𐄌𐘝𐄁𐘸𐘸𐘅𐄍 𐘸𐘁𐄁𐙂𐘰𐘰𐄇𐘾𐘶𐄇 𐙂𐘰𐘯𐄇𐘂𐘱𐘙𐄇𐘞𐙁 𐘁𐄇𐘀𐘳𐘙𐄇𐙂𐘁𐄌","""assessment""?|VIR+KA|20| |RE-ZA|6| |figs|𐄁|KI-KI-NA|7| |""owed""|𐄁| |KU-PA₃-PA₃|1| |KA-JU|1| |KU-PA₃-NU|1| |PA-JA-RE|1| |SA-MA-RO|1| |DA-TA-RE|1| |""total""|6","A-DU|VIR+KA|20| |RE-ZA|6| |NI|𐄁|KI-KI-NA|7| |KI-RO|𐄁| |KU-PA₃-PA₃|1| |KA-JU|1| |KU-PA₃-NU|1| |PA-JA-RE|1| |SA-MA-RO|1| |DA-TA-RE|1| |KU-RO|6","𐘇𐘬|𐛧|𐄑| |𐘙𐘍|𐄌| |𐘝|𐄁|𐘸𐘸𐘅|𐄍| |𐘸𐘁|𐄁| |𐙂𐘰𐘰|𐄇| |𐘾𐘶|𐄇| |𐙂𐘰𐘯|𐄇| |𐘂𐘱𐘙|𐄇| |𐘞𐙁𐘁|𐄇| |𐘀𐘳𐘙|𐄇| |𐙂𐘁|𐄌"
"HT89","Haghia Triada","Tablet","LMIB","HT Scribe 2","Casa Room 7","𐘇𐘞𐘽𐄁𐙛𐄁𐙙𐄑𐄉 𐛕𐄑𐄈 𐙁𐘚𐘻𐄑𐄊 𐛩𐄐𐄉 𐘳𐘴𐄋 𐙂𐘁𐄗𐄍 𐙗𐄈𐝕 𐘝𐄈𐝃 𐙍𐄌𐝫","𐘇𐘞𐘽𐄁𐙛𐄁𐙙𐄑𐄉 𐛕𐄑𐄈𐙁𐘚𐘻𐄑𐄊 𐛩𐄐𐄉𐘳𐘴𐄋 𐙂𐘁𐄗𐄍 𐙗𐄈𐝆𐝃𐘝𐄈𐝃𐙍𐄌𐝫","A-SA-RA₂|𐄁|*307|𐄁|*305|23| |JU+*317+QE|22| |MA-I-MI|24| |VIR+*313a|13| |TA-RA|5| |""total""|87| |cyperus|2|³⁄₄| |figs|2|¹⁄₄| |wine|6","A-SA-RA₂|𐄁|*307|𐄁|*305|23| |JU+*317+QE|22| |MA-I-MI|24| |VIR+*313a|13| |TA-RA|5| |KU-RO|87| |CYP|2|³⁄₄| |NI|2|¹⁄₄| |VIN|6","𐘇𐘞𐘽|𐄁|𐙛|𐄁|𐙙|𐄑𐄉| |𐛕|𐄑𐄈| |𐙁𐘚𐘻|𐄑𐄊| |𐛩|𐄐𐄉| |𐘳𐘴|𐄋| |𐙂𐘁|𐄗𐄍| |𐙗|𐄈|𐝕| |𐘝|𐄈|𐝃| |𐙍|𐄌𐝫"
"HT90","Haghia Triada","Tablet","LMIB","HT Scribe 2","Casa Room 7","𐘚𐙂𐘭𐘅 𐘞𐘽𐙉𐄑 𐘝𐄐 𐜉𐄉 𐘤𐘘𐙁𐘭𐘷𐙉𐄇 𐘝𐄇 𐜗𐄇 𐙘𐄇","𐘚𐙂𐘭𐘅𐘞𐘽𐙉 𐄑𐘝𐄐𐜉𐄉𐘤 𐘘𐙁𐘭𐘷𐙉𐄇𐘝 𐄇𐜗𐄇𐙘𐄇","I-KU-RI-NA| |SA-RA₂|grain|20| |figs|10| |olive oil|3| |SI-RU-MA-RI-TA₂|grain|1| |figs|1| |olive oil|1| |olive oil|1","I-KU-RI-NA| |SA-RA₂|GRA|20| |NI|10| |OLE+DI|3| |SI-RU-MA-RI-TA₂|GRA|1| |NI|1| |OLE+MI|1| |*304|1","𐘚𐙂𐘭𐘅| |𐘞𐘽|𐙉|𐄑| |𐘝|𐄐| |𐜉|𐄉| |𐘤𐘘𐙁𐘭𐘷|𐙉|𐄇| |𐘝|𐄇| |𐜗|𐄇| |𐙘|𐄇"
"HT91","Haghia Triada","Tablet","LMIB","HT Scribe 15","Casa Room 7","𐘚𐘾𐄁𐙲𐄁𐙉𐝎 𐙘𐝀 𐄁𐜓𐝀 𐜋𐝀 𐜗𐝀 𐙋𐝀 𐘝𐝀 𐙍𐝀 𐘡𐄋 𐘃𐘭𐄁𐜗𐝀 𐘡𐄉𐝫 𐝫","𐘚𐘾𐄁𐙲𐄁𐙉𐝎 𐙘𐝀𐄁𐜓𐝀𐜋 𐝀𐜗𐝀𐙋𐝀𐘝𐝀 𐙍𐝀𐘡𐄋 𐘃𐘭𐄁𐜗𐝀𐘡𐄉𐝫 𐝫","I-KA|𐄁|*326|𐄁|grain|.3| |olive oil|≈ ¹⁄₆| |𐄁|olive oil|≈ ¹⁄₆| |olive oil|≈ ¹⁄₆| |olive oil|≈ ¹⁄₆| |olives|≈ ¹⁄₆| |figs|≈ ¹⁄₆| |wine|≈ ¹⁄₆| |E|5| |TE-RI|𐄁|olive oil|≈ ¹⁄₆| |E|3| |𐝫","I-KA|𐄁|*326|𐄁|GRA|.3| |*304|≈ ¹⁄₆| |𐄁|OLE+KI|≈ ¹⁄₆| |OLE+U|≈ ¹⁄₆| |OLE+MI|≈ ¹⁄₆| |OLIV|≈ ¹⁄₆| |NI|≈ ¹⁄₆| |VIN|≈ ¹⁄₆| |E|5| |TE-RI|𐄁|OLE+MI|≈ ¹⁄₆| |E|3| |𐝫","𐘚𐘾|𐄁|𐙲|𐄁|𐙉|𐝎| |𐙘|𐝀| |𐄁|𐜓|𐝀| |𐜋|𐝀| |𐜗|𐝀| |𐙋|𐝀| |𐘝|𐝀| |𐙍|𐝀| |𐘡|𐄋| |𐘃𐘭|𐄁|𐜗|𐝀| |𐘡|𐄉𐝫| |𐝫"
"HT92","Haghia Triada","Tablet","LMIB","HT Scribe 2","Casa Room 7","𐘃𐄁 𐘇𐘬𐄁𐙉𐄞𐄗 𐙘𐄐𐄈","𐘃𐄁𐘇𐘬𐄁𐙉𐄞 𐄗𐙘𐄐𐄈","TE|𐄁| |""assessment""?|𐄁|grain|680| |olive oil|12","TE|𐄁| |A-DU|𐄁|GRA|680| |*304|12","𐘃|𐄁| |𐘇𐘬|𐄁|𐙉|𐄞𐄗| |𐙘|𐄐𐄈"
"HT93a","Haghia Triada","Tablet","LMIB","HT Scribe 5","Casa Room 7","𐘰𐘝𐘅𐄁𐙉𐘰𐄁𐚿𐄐𐄈 𐘆𐘭𐘅𐄁𐚴𐄓𐄉𐝆 𐘸𐘆𐘝𐄋𐝆𐝅 𐘇𐘈𐄁𐘚𐛭𐄑𐄌𐝕 𐘞𐘽𐄑 𐘌𐘌𐘘𐄁𐘚𐛭𐄋 𐙇𐘚𐄌 𐘦𐘶𐙂𐄇𐝆 𐘵𐘠𐝫𐄁𐄉 𐘀𐘭𐘀𐚦𐄈 𐚃𐄈 𐘰𐘝𐘅𐝫 𐝫𐘂𐘈𐘱𐄑 𐙇𐄐𐝄𐝫 𐝫𐘾𐄊","𐘰𐘝𐘅𐄁𐙉𐘰𐄁𐚿𐄐𐄈𐘆 𐘭𐘅𐄁𐚴𐄓𐄉𐝆𐘸𐘆 𐘝𐄋𐝆𐝅𐘇𐘈𐄁𐘚 𐛭𐄑𐄌𐝆𐝃𐘞𐘽𐄑𐘌𐘌 𐘘𐄁𐘚𐛭𐄋𐙇𐘚 𐄌𐘦𐘶𐙂𐄇𐝆𐘵𐘠 𐝫𐄁𐝫𐄉𐘀𐘭𐘀𐚦𐄈𐚃𐄈 𐘰𐘝𐘅𐝫𐘂𐘈𐘱𐄑 𐙇𐄐𐝄𐝫𐘾𐄊","PA₃-NI-NA|𐄁|GRA-PA₃|𐄁|RE+SE|12| |DI-RI-NA|𐄁|DA+RE+SE|43|¹⁄₂| |KI-DI-NI|5|𐝆𐝅| |A-SE|𐄁|I-GRA+PA|26|³⁄₄| |SA-RA₂|20| |QA-QA-RU|𐄁|I-GRA+PA|5| |VIR+[?]-I|6| |DE-JU-KU|1|¹⁄₂| |O-TI|𐄁|3| |DA-RI-DA|*406-VS|2| |*343|2| |PA₃-NI-NA| |PA-SE-JA|20| |VIR+[?]|10|¹⁄₈| |KA|4","PA₃-NI-NA|𐄁|GRA-PA₃|𐄁|RE+SE|12| |DI-RI-NA|𐄁|DA+RE+SE|43|¹⁄₂| |KI-DI-NI|5|𐝆𐝅| |A-SE|𐄁|I-GRA+PA|26|³⁄₄| |SA-RA₂|20| |QA-QA-RU|𐄁|I-GRA+PA|5| |VIR+[?]-I|6| |DE-JU-KU|1|¹⁄₂| |O-TI|𐄁|3| |DA-RI-DA|*406-VS|2| |*343|2| |PA₃-NI-NA| |PA-SE-JA|20| |VIR+[?]|10|¹⁄₈| |KA|4","𐘰𐘝𐘅|𐄁|𐙉𐘰|𐄁|𐚿|𐄐𐄈| |𐘆𐘭𐘅|𐄁|𐚴|𐄓𐄉|𐝆| |𐘸𐘆𐘝|𐄋|𐝆𐝅| |𐘇𐘈|𐄁|𐘚𐛭|𐄑𐄌|𐝕| |𐘞𐘽|𐄑| |𐘌𐘌𐘘|𐄁|𐘚𐛭|𐄋| |𐙇𐘚|𐄌| |𐘦𐘶𐙂|𐄇|𐝆| |𐘵𐘠𐝫|𐄁|𐄉| |𐘀𐘭𐘀|𐚦|𐄈| |𐚃|𐄈| |𐘰𐘝𐘅𐝫| |𐝫𐘂𐘈𐘱|𐄑| |𐙇|𐄐|𐝄𐝫| |𐝫𐘾|𐄊"
"HT93b","Haghia Triada","Tablet","LMIB","HT Scribe 5","Casa Room 7","𐝫𐄙𐄕𐄋𐝅 𐘸𐘁𐝫","𐝫𐄙𐄕𐄋𐝅𐘸𐘁 𐝫","165|≈ ¹⁄₆| |""owed""","165|≈ ¹⁄₆| |KI-RO","𐝫𐄙𐄕𐄋|𐝅| |𐘸𐘁𐝫"
"HT94a","Haghia Triada","Tablet","LMIB","HT Scribe 9","Casa Room 7","𐘾𐘂𐙇𐄕𐄈 𐙅𐄑 𐛃𐄍 𐛪𐄐𐄎 𐘳𐄊 𐙂𐘁𐄙𐄐 𐘞𐘽𐙗𐄋 𐘝𐄉𐝅 𐝫𐄈 𐙪𐙚𐄐𐄇 𐙗𐝂𐝂 𐘝𐝂𐝂 𐝫𐄐𐄊𐝆 𐘝𐝂","𐘾𐘂𐙇𐄕𐄈𐙅𐄑 𐛃𐄍𐛪𐄐𐄎𐘳𐄊 𐙂𐘁𐄙𐄐𐘞𐘽𐙗𐄋𐘝𐄉𐝅 𐝫𐄈𐙪𐙚𐄐𐄇𐙗𐝓𐘝𐝓 𐝫𐄐𐄊𐝆𐘝𐝂","""summary account?""|VIR+[?]|62| |*86|20| |TI+A|7| |VIR+*313b|18| |TA|4| |""total""|110| |SA-RA₂|cyperus|5| |figs|3|≈ ¹⁄₆| |2| |*318-*306|11| |cyperus|double mina| |figs|double mina| |14|¹⁄₂| |figs|¹⁄₅","KA-PA|VIR+[?]|62| |*86|20| |TI+A|7| |VIR+*313b|18| |TA|4| |KU-RO|110| |SA-RA₂|CYP|5| |NI|3|≈ ¹⁄₆| |2| |*318-*306|11| |CYP|double mina| |NI|double mina| |14|¹⁄₂| |NI|¹⁄₅","𐘾𐘂|𐙇|𐄕𐄈| |𐙅|𐄑| |𐛃|𐄍| |𐛪|𐄐𐄎| |𐘳|𐄊| |𐙂𐘁|𐄙𐄐| |𐘞𐘽|𐙗|𐄋| |𐘝|𐄉|𐝅| |𐝫𐄈| |𐙪𐙚|𐄐𐄇| |𐙗|𐝂𐝂| |𐘝|𐝂𐝂| |𐝫𐄐𐄊|𐝆| |𐘝|𐝂"
"HT94b","Haghia Triada","Tablet","LMIB","HT Scribe 9","Casa Room 7","𐘸𐘁𐄁 𐘹𐙁𐄇 𐘂𐘳𐘗𐄇 𐘦𐘆𐄇 𐘥𐘸𐘘𐄇 𐘞𐘘𐄇 𐙂𐘁𐄋 𐙅𐄁 𐘴𐝫𐄁𐝫𐘦𐘋𐘃𐄇 𐘐𐘹𐝫𐄁𐝫𐄇","𐘸𐘁𐄁𐘹𐙁𐄇𐘂𐘳𐘗𐄇 𐘦𐘆𐄇𐘥𐘸𐘘𐄇𐘞𐘘𐄇 𐙂𐘁𐄋 𐙅𐄁𐘴𐝫𐄁𐝫𐘦𐘋𐘃𐄇 𐘐𐘹𐝫𐄁𐝫𐄇","""owed""|𐄁| |TU-MA|1| |PA-TA-NE|1| |DE-DI|1| |KE-KI-RU|1| |SA-RU|1| |""total""|5| |*86|𐄁| |RA|𐄁|DE-ME-TE|1| |*21F-TU|𐄁|1","KI-RO|𐄁| |TU-MA|1| |PA-TA-NE|1| |DE-DI|1| |KE-KI-RU|1| |SA-RU|1| |KU-RO|5| |*86|𐄁| |RA|𐄁|DE-ME-TE|1| |*21F-TU|𐄁|1","𐘸𐘁|𐄁| |𐘹𐙁|𐄇| |𐘂𐘳𐘗|𐄇| |𐘦𐘆|𐄇| |𐘥𐘸𐘘|𐄇| |𐘞𐘘|𐄇| |𐙂𐘁|𐄋| |𐙅|𐄁| |𐘴𐝫|𐄁|𐝫𐘦𐘋𐘃|𐄇| |𐘐𐘹𐝫|𐄁|𐄇"
"HT95a","Haghia Triada","Tablet","LMIB","","Casa Room 7","𐘀𐘬𐙁𐘳𐄁𐙉 𐘀𐘋𐄐 𐘻𐘯𐘃𐄐 𐘞𐘘𐄑 𐙂𐘝𐘲𐄐 𐘆𐘦𐘘𐄐 𐘿𐘽𐘉𐄍","𐘀𐘬𐙁𐘳𐄁𐙉 𐘀𐘋𐄐𐘻𐘯𐘃𐄐 𐘞𐘘𐄑𐙂𐘝𐘲 𐄐𐘆𐘦𐘘𐄐𐘿 𐘽𐘉𐄍","""grain contributions""|𐄁|grain| |DA-ME|10| |MI-NU-TE|10| |SA-RU|20| |Kunisu (a place)|10| |DI-DE-RU|10| |QE-RA₂-U|7","DA-DU-MA-TA|𐄁|GRA| |DA-ME|10| |MI-NU-TE|10| |SA-RU|20| |KU-NI-SU|10| |DI-DE-RU|10| |QE-RA₂-U|7","𐘀𐘬𐙁𐘳|𐄁|𐙉| |𐘀𐘋|𐄐| |𐘻𐘯𐘃|𐄐| |𐘞𐘘|𐄑| |𐙂𐘝𐘲|𐄐| |𐘆𐘦𐘘|𐄐| |𐘿𐘽𐘉|𐄍"
"HT95b","Haghia Triada","Tablet","LMIB","","Casa Room 7","𐘇𐘬𐄁 𐘞𐘘𐄐 𐝫𐄁𐝫 𐘀𐘋𐄐 𐘻𐘯𐘃𐄐 𐙂𐘝𐘲𐄐 𐘆𐘦𐘘𐄐 𐘿𐘽𐘉𐄐","𐘇𐘬𐄁𐘞𐘘𐄐 𐝫𐄁𐝫𐘀𐘋𐄐𐘻 𐘯𐘃𐄐𐙂𐘝𐘲 𐄐𐘆𐘦𐘘𐄐𐘿 𐘽𐘉𐄐","""assessment""?|𐄁| |SA-RU|10| |𐝫|𐄁|𐝫| |DA-ME|10| |MI-NU-TE|10| |Kunisu (a place)|10| |DI-DE-RU|10| |QE-RA₂-U|10","A-DU|𐄁| |SA-RU|10| |𐝫|𐄁|𐝫| |DA-ME|10| |MI-NU-TE|10| |KU-NI-SU|10| |DI-DE-RU|10| |QE-RA₂-U|10","𐘇𐘬|𐄁| |𐘞𐘘|𐄐| |𐝫|𐄁|𐝫| |𐘀𐘋|𐄐| |𐘻𐘯𐘃|𐄐| |𐙂𐘝𐘲|𐄐| |𐘆𐘦𐘘|𐄐| |𐘿𐘽𐘉|𐄐"
