name,site,support,context,scribe,findspot,parsedInscription,transcription,translatedWords,transliteratedWords,words
"KH34","Khania","Tablet","LMIB","KH Scribe 1","","𐝫𐜚𐄈 𐘝𐝫 𐝫 𐝫","𐝫𐜚𐄈𐘝𐝫 𐝫 𐝫","cyperus|2| |figs| |𐝫| |𐝫","CYP+E|2| |NI| |𐝫| |𐝫","𐝫𐜚|𐄈| |𐘝𐝫| |𐝫| |𐝫"
"KH35","Khania","Tablet","LMIB","KH Scribe 1","","𐝫 𐝫 𐝫𐄇 𐙗𐝫 𐝫","𐝫 𐝫 𐝫𐄇𐙗𐝫 𐝫","𐝫| |𐝫| |1| |cyperus| |𐝫","𐝫| |𐝫| |1| |CYP| |𐝫","𐝫| |𐝫| |𐝫𐄇| |𐙗𐝫| |𐝫"
"KH36","Khania","Tablet","LMIB","KH Scribe 1","","𐝫𐘾𐄁𐛚𐄊𐝫 𐝫𐘅𐝫 𐝫","𐝫𐘾𐄁𐛚𐄊𐝫 𐝫𐘅𐝫 𐝫","KA|𐄁|liquid?|4| |NA| |𐝫","KA|𐄁|MI+JA+RU|4| |NA| |𐝫","𐝫𐘾|𐄁|𐛚|𐄊𐝫| |𐝫𐘅𐝫| |𐝫"
"KH37","Khania","Tablet","LMIB","","","𐜜𐄈 𐘣𐝫 𐜜 𐝫","𐜜𐄈𐘣𐝫 𐜜 𐝫","*304+[ ]|2| |WI| |*304+[ ]| |𐝫","*304+[ ]|2| |WI| |*304+[ ]| |𐝫","𐜜|𐄈| |𐘣𐝫| |𐜜| |𐝫"
"KH38","Khania","Tablet","LMIB","KH Scribe 2","","𐝫 𐝫 𐜙𐝆𐝫 𐝫 𐝫","𐝫 𐝫 𐜙𐝆𐝫 𐝫 𐝫","𐝫| |𐝫| |cyperus|¹⁄₂| |𐝫| |𐝫","𐝫| |𐝫| |CYP+D|¹⁄₂| |𐝫| |𐝫","𐝫| |𐝫| |𐜙|𐝆𐝫| |𐝫| |𐝫"
"KH39","Khania","Tablet","LMIB","KH Scribe 3","","𐘇𐘳𐝫 𐝫𐜐𐝫 𐝫","𐘇𐘳𐝫 𐝫𐜐𐝫 𐝫","A-TA| |olive oil| |𐝫","A-TA| |OLE+TA| |𐝫","𐘇𐘳𐝫| |𐝫𐜐𐝫| |𐝫"
"KH40","Khania","Tablet","LMIB","KH Scribe 1","","𐝫 𐝫𐘤𐘅𐝫 𐝫","𐝫 𐝫𐘤𐘅𐝫 𐝫","𐝫| |SI-NA| |𐝫","𐝫| |SI-NA| |𐝫","𐝫| |𐝫𐘤𐘅𐝫| |𐝫"
"KH41","Khania","Tablet","LMIB","","","𐝫𐄉 𐝫𐘾𐘳𐘙𐝫 𐝫","𐝫𐄉 𐝫𐘾𐘳𐘙𐝫 𐝫","3| |KA-TA-RE| |𐝫","3| |KA-TA-RE| |𐝫","𐝫𐄉| |𐝫𐘾𐘳𐘙𐝫| |𐝫"
"KH42","Khania","Tablet","LMIB","","","𐝫 𐝫𐜟𐝫 𐝫","𐝫 𐝫𐜟𐝫 𐝫","𐝫| |*307+*301[| |𐝫","𐝫| |*307+*301[| |𐝫","𐝫| |𐝫𐜟𐝫| |𐝫"
"KH43","Khania","Tablet","LMIB","","","𐝫𐛢𐘙𐄈 𐛇𐝫 𐝫","𐝫𐙁𐘘𐘙𐄈𐛇𐝫 𐝫","*560-RE|2| |WI+ZE[| |𐝫","*560-RE|2| |WI+ZE[| |𐝫","𐝫𐛢𐘙|𐄈| |𐛇𐝫| |𐝫"
"KH44","Khania","Tablet","LMIB","KH Scribe 1","","𐝫 𐝫 𐝫𐙻𐝫 𐝫","𐝫 𐝫 𐝫𐙻𐝫 𐝫","𐝫| |𐝫| |*335| |𐝫","𐝫| |𐝫| |*335| |𐝫","𐝫| |𐝫| |𐝫𐙻𐝫| |𐝫"
"KH45","Khania","Tablet","LMIB","KH Scribe 1","","𐘇𐝫 𐝫 𐝫","𐘇𐝫 𐝫 𐝫","A| |𐝫| |𐝫","A| |𐝫| |𐝫","𐘇𐝫| |𐝫| |𐝫"
