,Identical matches,Numbered_strings,Row number
50,"['khn', 'khn', 'knn', 'krn', 'ksn', 'ktn', 'kyn']",k079n,385
51,"['skr', 'skr', 'akr', 'bkr', 'dkr', 'ekr', 'fkr', 'hkr', 'kkr', 'mkr', 'nkr', 'tkr']",999kr,426
52,"['khn', 'khn', 'knn', 'krn', 'ksn', 'ktn', 'kyn', 'kdr', 'kkl', 'kkr', 'krb', 'krc', 'krd', 'krh', 'krk', 'krm', 'krp', 'krs', 'kwt', 'kbh', 'kbl', 'kbr', 'kcb', 'kcf', 'kcm', 'kcr', 'kdh', 'khh', 'khp', 'klb', 'klc', 'klf', 'klh', 'klm', 'klp', 'kly', 'kmh', 'kml', 'kmy', 'knc', 'knh', 'knk', 'knm', 'knp', 'kny', 'ktm', 'ktr', 'kwd', 'kwl', 'kws', 'kyc', 'kyr', 'kys']",k999999,427
53,"['mqq', 'mqq']",m317q,436
54,"['rup', 'rup']",302up,447
55,"['gmp', 'gmp']",302mp,448
56,"['knn', 'knn', 'ann', 'cnn', 'enn', 'hnn', 'knn', 'ann', 'cnn', 'enn', 'hnn']",056nn,454
57,"['ktn', 'ktn', 'btn', 'wtn', 'ytn', 'stp', 'stw', 'sty', 'mtk', 'mtr', 'ktm', 'ktr', 'atw', 'btk', 'cth', 'ftk', 'ftq', 'fty', 'htk', 'htm', 'htr', 'ith', 'ntf', 'pth', 'ptk', 'ptr', 'pts', 'qtm', 'utl', 'wtf']",012t999,480
58,"['ant', 'ant']",a123t,497
59,"['pud', 'pud']",pu999,507
60,"['wt', 'wt', 'wr', 'wk', 'wm', 'wd', 'wp', 'wb', 'wc', 'wg', 'wh', 'wl', 'wn', 'ws', 'wy']",w999,511
61,"['sab', 'sab', 'saf', 'sap', 'sar', 'sbb', 'sbh', 'sbl', 'sbn', 'sbr', 'sbt', 'sby', 'sdf', 'sdy', 'sff', 'sfh', 'sgl', 'shf', 'shh', 'shl', 'shm', 'shn', 'shr', 'sht', 'sim', 'skl', 'skn', 'skr', 'slh', 'slk', 'slm', 'slp', 'slq', 'smb', 'smf', 'smh', 'smn', 'snb', 'snh', 'snk', 'son', 'sot', 'spy', 'sqm', 'srf', 'srh', 'ssg', 'ssm', 'ssn', 'stp', 'stw', 'sty', 'sub', 'sum', 'swh', 'swk', 'swn', 'sws', 'syb', 'syf', 'syl', 'sym', 'syr']",s332999,512
62,"['kt', 'kt', 'kb', 'kc', 'kd', 'kf', 'kh', 'kk', 'kl', 'km', 'kn', 'kp', 'kr', 'ks', 'kw', 'ky']",k056,528
63,"['tn', 'tn', 'kn', 'pn', 'sn', 'qn', 'wn', 'an', 'bn', 'cn', 'dn', 'en', 'fn', 'gn', 'hn', 'in', 'ln', 'mn', 'nn', 'un']",056n,531
64,"['dbn', 'dbn', 'dgn', 'dhn', 'dmn', 'dwn']",d056n,581
65,"['ktn', 'ktn', 'btn', 'wtn', 'ytn']",012tn,615
66,"['ads', 'ads', 'ams']",a703s,621
67,"['krm', 'krm', 'arm', 'brm', 'crm', 'grm', 'hrm', 'prm', 'qrm', 'wrm']",703rm,622
68,"['yr', 'yr', 'yw', 'yb', 'yc', 'yd', 'yl', 'ym', 'yp']",y345,628
69,"['tt', 'tt', 'at', 'bt', 'ct', 'et', 'ft', 'gt', 'ht', 'it', 'kt', 'lt', 'mt', 'nt', 'pt', 'qt', 'st', 'wt', 'tt', 'at', 'bt', 'ct', 'et', 'ft', 'gt', 'ht', 'it', 'kt', 'lt', 'mt', 'nt', 'pt', 'qt', 'st', 'wt', 'tt', 'at', 'bt', 'ct', 'et', 'ft', 'gt', 'ht', 'it', 'kt', 'lt', 'mt', 'nt', 'pt', 'qt', 'st', 'wt']",999t,631
70,"['dr', 'dr', 'dw', 'dq', 'dk', 'dm', 'dd', 'dp', 'dn', 'db', 'dc', 'df', 'dg', 'dh', 'dl', 'ds', 'dy']",d013,634
71,"['sap', 'sap', 'slp', 'stp', 'krp', 'rsp', 'khp', 'klp', 'knp', 'rup', 'gmp', 'cyp', 'hlp', 'lhp', 'qrp', 'trp', 'whp']",028120p,637
72,"['pkh', 'pkh', 'prt', 'pth', 'ptk', 'ptr', 'pts', 'pud', 'prm', 'pal', 'pcr', 'pdg', 'pgl', 'phc', 'phd', 'phl', 'phr', 'phs', 'pin', 'plc', 'plh', 'plk', 'pls', 'ply', 'pnk', 'prc', 'prd', 'prg', 'prh', 'prk', 'prq', 'psk', 'psq', 'pvs', 'pwd', 'pyk']",p131122,670
73,"['srf', 'srf', 'srh']",sr122,672
74,"['krn', 'krn', 'krb', 'krc', 'krd', 'krh', 'krk', 'krm', 'krp', 'krs']",kr122,676
75,"['kd', 'kd', 'rd', 'pd', 'sd', 'yd', 'ad', 'bd', 'cd', 'dd', 'fd', 'gd', 'hd', 'id', 'ld', 'md', 'nd', 'ud', 'wd']",188d,681
76,"['ant', 'ant', 'ann']",an999,693
77,"['ur', 'ur', 'um', 'ud', 'up', 'un', 'ub', 'uc', 'uf', 'ug', 'ul', 'us', 'ur', 'um', 'ud', 'up', 'un', 'ub', 'uc', 'uf', 'ug', 'ul', 'us']",u049,696
78,"['mtk', 'mtk', 'mtr']",mt574,705
79,"['tb', 'tb', 'tc', 'tf', 'tg', 'th', 'tk', 'tl', 'tm', 'tn', 'tp', 'tq', 'tr', 'ts', 'tt', 'tw', 'ty']",t021,711
80,"['nt', 'nt', 'nr', 'nw', 'nk', 'nm', 'nd', 'np', 'nn', 'nb', 'nc', 'nf', 'ng', 'nh', 'nl', 'ns', 'ny']",n120,712
81,"['st', 'st', 'sr', 'sb', 'sd', 'sf', 'sg', 'sh', 'sk', 'sl', 'sm', 'sn', 'sp', 'sq', 'ss', 'sw', 'sy']",s303,715
82,"['ncn', 'ncn', 'nwn']",n999n,724
83,"['ksn', 'ksn', 'ssn', 'wsn']",086sn,728
84,"['it', 'it', 'ir', 'iw', 'im', 'id', 'in', 'ib', 'ic', 'ig', 'il', 'is', 'iy']",i301,749
85,"['hky', 'hky', 'iky', 'mky', 'rky']",999ky,753
86,"['pdg', 'pdg']",pd056,754
87,"['tkc', 'tkc', 'tkn', 'tkr', 'twy', 'tmb', 'tmf', 'tms', 'trp', 'tab', 'tam', 'tay', 'tbk', 'tbl', 'tbn', 'tcr', 'tfl', 'thl', 'thm', 'thn', 'thr', 'tlm', 'tnq', 'tph', 'trb', 'trc', 'trh', 'trk', 'trr', 'trw', 'twh', 'twr', 'tyk', 'tyr', 'tys', 'tyw']",t709310,756
88,"['rsp', 'rsp']",999sp,760
89,"['pt', 'pt', 'pr', 'pc', 'pd', 'pg', 'ph', 'pk', 'pl', 'pn', 'pq', 'ps', 'pw', 'py', 'pt', 'pr', 'pc', 'pd', 'pg', 'ph', 'pk', 'pl', 'pn', 'pq', 'ps', 'pw', 'py']",p999,761
90,"['kys', 'kys', 'tys', 'dys', 'mys']",999ys,763
91,"['tb', 'tb', 'tc', 'tf', 'tg', 'th', 'tk', 'tl', 'tm', 'tn', 'tp', 'tq', 'tr', 'ts', 'tt', 'tw', 'ty']",t602,779
92,"['acy', 'acy', 'afy', 'ary']",a999y,781
93,"['pin', 'pin']",p999n,799
94,"['ssg', 'ssg', 'ssm', 'ssn']",ss056,804
95,"['kmy', 'kmy']",999my,809
96,"['ysr', 'ysr']",ys999,828
97,"['adr', 'adr', 'hdr', 'idr', 'kdr', 'udr']",999dr,843
98,"['at', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as']",a301,871
99,"['abc', 'abc', 'abd', 'abk', 'abl', 'abn', 'abw', 'abc', 'abd', 'abk', 'abl', 'abn', 'abw']",ab188,881
100,"['at', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as']",a303,886
101,"['akd', 'akd', 'abd', 'acd', 'add']",a703d,891
102,"['abc', 'abc', 'abd', 'abk', 'abl', 'abn', 'abw', 'abc', 'abd', 'abk', 'abl', 'abn', 'abw']",ab120,899
103,"['abc', 'abc', 'abd', 'abk', 'abl', 'abn', 'abw']",ab021,906
104,"['abc', 'abc', 'abd', 'abk', 'abl', 'abn', 'abw', 'abc', 'abd', 'abk', 'abl', 'abn', 'abw']",ab122,907
105,"['tn', 'tn', 'kn', 'pn', 'sn', 'qn', 'wn', 'an', 'bn', 'cn', 'dn', 'en', 'fn', 'gn', 'hn', 'in', 'ln', 'mn', 'nn', 'un']",301n,931
106,"['et', 'et', 'er', 'ew', 'em', 'en', 'eb', 'el', 'es']",e082,960
107,"['tb', 'tb', 'tc', 'tf', 'tg', 'th', 'tk', 'tl', 'tm', 'tn', 'tp', 'tq', 'tr', 'ts', 'tt', 'tw', 'ty']",t999,973
108,"['imn', 'imn']",im999,980
109,"['nt', 'nt', 'nr', 'nw', 'nk', 'nm', 'nd', 'np', 'nn', 'nb', 'nc', 'nf', 'ng', 'nh', 'nl', 'ns', 'ny']",n905,987
