0,GORILA Code,Site,Item Type,English Transcription,NEW FORMAT,Without Gaps,Without Vowels,Linear A Font,UNICODE Symbols,Notes,LOWER
,HT6B,,,,[AB056]-NI-DI,056NIDI,056ND,,,,056nd
,HT7A,,,,QE-TI,QETI,QT,,,,qt
,HT7A,,,,I-RU-JA,IRUJA,IRJ,,,,irj
,HT7A,,,,I-RU-YA,IRUYA,IRY,,,,iry
,HT7A,,,,DU-JA,DUJA,DJ,,,,dj
,HT7A,,,,DU-YA,DUYA,DY,,,,dy
,HT7A,,,,TA-NI-TI,TANITI,TNT,,,,tnt
,HT7A,,,,DA-RE,DARE,DR,,,,dr
,HT7A,,,,TE-TU,TETU,TT,,,,tt
,HT7A,,,,[AB021F]-TU-NE,021TUNE,021TN,,,,021tn
,HT7A,,,,DA-RU-[A329],DARU329,DR329,,,,dr329
,HT8A,,,,JE-DI-KI,JEDIKI,JDK,,,,jdk
,HT8A,,,,YE-DI-KI,YEDIKI,YDK,,,,ydk
,HT8A,,,,[AB056]-KA-RA-TI,056KARATI,056KRT,,,,056krt
,HT8A,,,,TE-[A301],TE301,T301,,,,t301
,HT8A,,,,QA-[A310]-I,QA310I,Q310I,,,,q310i
,HT8A,,,,SI-KI-RA,SIKIRA,SKR,,,,skr
,HT8A,,,,KI-RE-TA-NA,KIRETANA,KRTN,,,,krtn
,HT8B,,,,SU-[AB029]-[AB188],SU029188,S029188,,,,s029188
,HT8B,,,,[AB056]-[AB188],56188,56188,,,,56188
,HT8B,,,,QA-[A310]-I,QA310I,Q310I,,,,q310i
,HT8B,,,,KA-PA,KAPA,KP,,,,kp
,HT8B,,,,PA-JA-RE,PAJARE,PJR,,,,pjr
,HT8B,,,,PA-YA-RE,PAYARE,PYR,,,,pyr
,HT8B,,,,[A565],565,565,,,,565
,HT9A,,,,SA-RO,SARO,SR,,,,sr
,HT9A,,,,PA-DE,PADE,PD,,,,pd
,HT9A,,,,[AB076]-TU,076TU,076T,,,,076t
,HT9A,,,,DI-NA-U,DINAU,DNU,,,,dnu
,HT9A,,,,QE-PU,QEPU,QP,,,,qp
,HT9A,,,,[A301]-DI-RA,301DIRA,301DR,,,,301dr
,HT9A,,,,TA-I-[AB123],TAI123,TI123,,,,ti123
,HT9A,,,,A-RU,ARU,AR,,,,ar
,HT9A,,,,KU-RO,KURO,KR,,,,kr
,HT9B,,,,WA-JA-PI,WAJAPI,WJP,,,,wjp
,HT9B,,,,WA-YA-PI,WAYAPI,WYP,,,,wyp
,HT9B,,,,KA-[A305],KA305,K305,,,,k305
,HT9B,,,,PA-DE,PADE,PD,,,,pd
,HT9B,,,,A-SI,ASI,AS,,,,as
,HT9B,,,,[AB076]-TU,076TU,076T,,,,076t
,HT9B,,,,[A301]-DI-RA,301DIRA,301DR,,,,301dr
,HT9B,,,,QE-PU,QEPU,QP,,,,qp
,HT9B,,,,TA-I-[AB123],TAI123,TI123,,,,ti123
,HT9B,,,,DI-NA-U,DINAU,DNU,,,,dnu
,HT9B,,,,KU-RO,KURO,KR,,,,kr
,HT10A,,,,KU-NI-SU,KUNISU,KNS,,,,kns
,HT10A,,,,SA-MA,SAMA,SM,,,,sm
,HT10A,,,,DA-RE,DARE,DR,,,,dr
,HT10A,,,,U-QA-ZA,UQAZA,UQZ,,,,uqz
,HT10A,,,,[A301],301,301,,,,301
,HT10A,,,,U-QA-ZA,UQAZA,UQZ,,,,uqz
,HT10A,,,,[A305]-RU,305-RU,305R,,,,305r
,HT10A,,,,DA-RI-DA,DARIDA,DRD,,,,drd
,HT10A,,,,ME-ZA,MEZA,MZ,,,,mz
,HT10B,,,,U-TI,UTI,UT,,,,ut
,HT10B,,,,DA-SI,DASI,DS,,,,ds
,HT10B,,,,TA-RI-NA,TARINA,TRN,,,,trn
,HT10B,,,,[A312]-TA,312TA,312T,,,,312t
,HT10B,,,,KA-SA-RU,KASARU,KSR,,,,ksr
,HT10B,,,,TA-NA-TI,TANATI,TNT,,,,tnt
,HT11A,,,,A-RU-RA,ARURA,ARR,,,,arr
,HT11A,,,,KA-RO-NA,KARONA,KRN,,,,krn
,HT11A,,,,A-SU-RA,ASURA,ASR,,,,asr
,HT11A,,,,KU-RO,KURO,KR,,,,kr
,HT11B,,,,[A100]-I,100I,100I,,,,100i
,HT11B,,,,DE-NU,DENU,DN,,,,dn
,HT11B,,,,RU-[AB076],RU076,R076,,,,r076
,HT11B,,,,RU-ZU-NA,RUZUNA,RZN,,,,rzn
,HT11B,,,,SA-QE-RI,SAQERI,SQR,,,,sqr
,HT11B,,,,KU-RO,KURO,KR,,,,kr
,HT12,,,,QA-TI-DA-TE,QATIDATE,QTDT,,,,qtdt
,HT12,,,,QE-TU-NE,QETUNE,QTN,,,,qtn
,HT12,,,,DA-I,DAI,DI,,,,di
,HT13,,,,KA-U-DE-TA,KAUDETA,KUDT,,,,kudt
,HT13,,,,RE-ZA,REZA,RZ,,,,rz
,HT13,,,,TE-TU,TETU,TT,,,,tt
,HT13,,,,TE-KI,TEKI,TK,,,,tk
,HT13,,,,KU-ZU-NI,KUZUNI,KZN,,,,kzn
,HT13,,,,DA-SI-[AB118],DASI118,DS118,,,,ds118
,HT13,,,,I-DU-NE-SI,IDUNESI,IDNS,,,,idns
,HT13,,,,KU-RO,KURO,KR,,,,kr
,HT14,,,,PU-[AB131A],PU131,P131,,,,p131
,HT14,,,,A-[AB029]-NA-DU,A029NADU,A029ND,,,,a029nd
,HT15,,,,U-[AB034]-SI,U034SI,U034S,,,,u034s
,HT15,,,,DU-[AB123]-A,DU123A,D123A,,,,d123a
,HT15,,,,KI-RO,KIRO,KR,,,,kr
,HT16,,,,KA-KU-PA,KAKUPA,KKP,,,,kkp
,HT16,,,,DI-NA-U,DINAU,DNU,,,,dnu
,HT16,,,,SA-[AB011],SA011,S011,,,,s011
,HT17,,,,RA-[AB164]-TI,RA164TI,R164T,,,,r164t
,HT17,,,,SA-RO,SARO,SR,,,,sr
,HT17,,,,SI-DA-RE,SIDARE,SDR,,,,sdr
,HT18,,,,PA-SE,PASE,PS,,,,ps
,HT19,,,,SA-[AB076],SA076,S076,,,,s076
,HT19,,,,RA-[AB164]-TI,RA164TI,R164T,,,,r164t
,HT19,,,,SA-RO,SARO,SR,,,,sr
,HT19,,,,DU-ME-DI,DUMEDI,DMD,,,,dmd
,HT19,,,,PA-RO-SU,PAROSU,PRS,,,,prs
,HT19,,,,KU-MA-JU,KUMAJU,KMJ,,,,kmj
,HT19,,,,KA-MA-YU,KUMAYU,KUMAYU,,,,kumayu
,HT19,,,,QE-KU-RE,QEKURE,QKR,,,,qkr
,HT19,,,,SA-RE-JU,SAREJU,SRJ,,,,srj
,HT19,,,,SA-RE-YU,SAREYU,SRY,,,,sry
,HT20,,,,PI-TA-KE-SE,PITAKESE,PTKS,,,,ptks
,HT23A,,,,KA-NA,KANA,KN,,,,kn
,HT23A,,,,SA-SA-ME,SASAME,SSM,,,,ssm
,HT23A,,,,KO-RU,KORU,KR,,,,kr
,HT23B,,,,NI-RA,NIRA,NR,,,,nr
,HT23B,,,,[]-RI-QU-TA,XRIQUTA,XRQT,,,,xrqt
,HT24A,,,,KU-[AB056]-RI-JA,KU056RIJA,K056RJ,,,,k056rj
,HT24A,,,,KU-[AB056]-RI-YA,KU056RIYA,K056RY,,,,k056ry
,HT24A,,,,PA-SA-RI-JA,PASARIJA,PSRJ,,,,psrj
,HT24A,,,,PA-SA-RI-YA,PASARIYA,PSRY,,,,psry
,HT24A,,,,RU-I-KO,RUIKO,RIK,,,,rik
,HT25A,,,,DI-NA-U,DINAU,DNU,,,,dnu
,HT25A,,,,RU-NI,RUNI,RN,,,,rn
,HT25A,,,,U-RE-WI,UREWI,URW,,,,urw
,HT25A,,,,DI-NA-U,DINAU,DNU,,,,dnu
,HT25A,,,,A-RI-NI-TA,ARINITA,ARNT,,,,arnt
,HT25A,,,,TU-QE-NI,TUQENI,TQN,,,,tqn
,HT25A,,,,ZA-JU-[AB029],ZAJU029,ZJ029,,,,zj029
,HT25A,,,,ZA-YU-[AB029],ZAYU029,ZY029,,,,zy029
,HT25A,,,,DU-RU-WI,DURUWI,DRW,,,,drw
,HT25A,,,,I-KI-RA,IKIRA,IKR,,,,ikr
,HT26A,,,,[A312]-TE-TE,312TETE,312TT,,,,312tt
,HT26A,,,,TA-TI,TATI,TT,,,,tt
,HT26A,,,,MI-KI-SE-NA,MIKISENA,MKSN,,,,mksn
,HT26A,,,,U-NU,UNU,UN,,,,un
,HT26B,,,,RO-NI,RONI,RN,,,,rn
,HT26B,,,,KA-U-ZU-NI,KAUZUNI,KUZN,,,,kuzn
,HT27A,,,,KI-NI-TA,KINITA,KNT,,,,knt
,HT27A,,,,I-MI-SA-RA,IMISARA,IMSR,,,,imsr
,HT27A,,,,SA-RA-DI,SARADI,SRD,,,,srd
,HT27A,,,,KI-DA,KIDA,KD,,,,kd
,HT27A,,,,KU-RO,KURO,KR,,,,kr
,HT27b,,,,MI-DO-[AB131A]-WA,MIDO131WA,MD131W,,,,md131w
,HT27b,,,,SA,SA,S,,,,s
,HT27b,,,,[AB131A],131,131,,,,131
,HT27b,,,,[AB120],120,120,,,,120
,HT27b,,,,SA,SA,S,,,,s
,HT27b,,,,RE,RE,R,,,,r
,HT27b,,,,[AB131A],131,131,,,,131
,HT27b,,,,SI,SI,S,,,,s
,HT27b,,,,PA-SE,PASE,PS,,,,ps
,HT27b,,,,[AB131A]-WA,131WA,131W,,,,131w
,HT27b,,,,SA,SA,S,,,,s
,HT27b,,,,RE,RE,R,,,,r
,HT27b,,,,[AB131A]-[AB120],131120,131120,,,,131120
,HT27b,,,,SA,SA,S,,,,s
,HT27b,,,,RE-[],REX,RX,,,,rx
,HT28a,Haghia Triada,,,A-SI-JA-KA,ASIJAKA,ASJK,,,,asjk
,HT28a,,,,A-SI-YA-KA,ASIYAKA,ASYK,,,,asyk
,HT28a,,,,JA-ME,JAME,JM,,,,jm
,HT28a,,,,YA-ME,YAME,YM,,,,ym
,HT28a,,,,JA-[AB021F],JA021,J021,,,,j021
,HT28a,,,,YA-[AB021F],YA021,Y021,,,,y021
,HT28a,,,,[A578],278,278,,,,278
,HT28a,,,,[AB120]+QE,120QE,120Q,,,,120q
,HT28a,,,,[A610],610,610,,,,610
,HT28a,,,,[A618],618,618,,,,618
,HT28a,,,,[A302]+KI,302KI,302K,,,,302k
,HT28a,,,,[A622],622,622,,,,622
,HT28a,,,,[A302]+MI,302MI,302M,,,,302m
,HT28a,,,,[A621],621,621,,,,621
,HT28a,,,,[A302]+TU,302TU,302T,,,,302t
,HT28a,,,,[A7092]-SA-RYA-[A608],709SARYA608,709SR608,,,,709sr608
,HT28a,,,,[A7092]-SA-RYA-[A302]+DI,709SARYA302DI,709SR302D,,,,709sr302d
,HT28a,,,,NI,NI,N,,,,n
,HT28a,,,,[AB131A],131,131,,,,131
,HT28a,,,,[A568]-[AB131A],568131,568131,,,,568131
,HT28a,,,,[A100]+KA-[AB131A],100KA131,100K131,,,,100k131
,HT28a,,,,A-RU-DA-RA,ARUDARA,ARDR,,,,ardr
,HT28a,,,,[AB120],120,120,,,,120
,HT28a,,,,[A304],304,304,,,,304
,HT28a,,,,[A608],608,608,,,,608
,HT28a,,,,[A302]+DI,302DI,302D,,,,302d
,HT28a,,,,I-TA-JA-[A608],ITAJA608,ITJ608,,,,itj608
,HT28a,,,,I-TA-YA-[A608],ITAYA608,ITY608,,,,ity608
,HT28a,,,,I-TA-JA-[A302]+DI,ITAJA302DI,ITJ302D,,,,itj302d
,HT28a,,,,I-TA-YA-[A302]+DI,ITAYA302DI,ITY302D,,,,ity302d
,HT28b,Haghia Triada,,,A-SI-JA-KA,ASIJAKA,ASJK,,,,asjk
,HT28b,,,,A-SI-YA-KA,ASIYAKA,ASYK,,,,asyk
,HT28b,,,,U-MI,UMI,UM,,,,um
,HT28b,,,,NA-SI,NASI,NS,,,,ns
,HT28b,,,,SA-RYA-[AB120],SARYA120,SR120,,,,sr120
,HT28b,,,,[A302]-DI,302DI,302D,,,,302d
,HT28b,,,,NI,NI,N,,,,n
,HT28b,,,,[AB131A],131,131,,,,131
,HT28b,,,,PU-RYA,999RYA,999R,,,,999r
,HT28b,,,,NI,NI,N,,,,n
,HT28b,,,,JA-ME,JAME,JM,,,,jm
,HT28b,,,,YA-ME,YAME,YM,,,,ym
,HT28b,,,,JA-[AB021F],JA021,J021,,,,j021
,HT28b,,,,YA-[AB021F],YA021,Y021,,,,y021
,HT28b,,,,[AB131A]+DI,131DI,131D,,,,131d
,HT28b,,,,WI-DI-NA-[A302]+DI,WIDINA302DI,WDN302D,,,,wdn302d
,HT28b,,,,[AB131A],131,131,,,,131
,HT28b,,,,[A359],359,359,,,,359
,HT29,Haghia Triada,,,A-MA-TA,AMATA999,AMT999,,,,amt999
,HT29,,,,PA-JA-RE-[],PAJARE999,PJR999,,,,pjr999
,HT29,,,,PA-YA-RE-[],PAYARE999,PYR999,,,,pyr999
,HT29,,,,DI-JA-I,DIJAI,DJI,,,,dji
,HT29,,,,DI-YA-I,DIYAI,DYI,,,,dyi
,HT29,,,,SA-TI-MI,SATIMI,STM,,,,stm
,HT29,,,,SA-PI-MI,SAPIMI,SPM,,,,spm
,HT29,,,,[]-KI-TA,999KITA,999KT,,,,999kt
,HT29,,,,A-RE-DA-I,AREDAI,ARDI,,,,ardi
,HT29,,,,KA-DU-MA-NE,KADUMANE,KDMN,,,,kdmn
,HT30,Haghia Triada,,,SI,SI,S,,,,s
,HT30,,,,SA-RYA-[A303],SARYA303,SR303,,,,sr303
,HT30,,,,NI,NI,N,,,,n
,HT30,,,,[AB131A],131,131,,,,131
,HT30,,,,[A615],615,615,,,,615
,HT30,,,,[A302]+TA,302TA,302T,,,,302t
,HT30,,,,SA-RA-RA,SARARA,SRR,,,,srr
,HT30,,,,[AB023M],23,23,,,,23
,HT30,,,,KI-RO-[A303],KIRO303,KR303,,,,kr303
,HT30,,,,[AB131A],131,131,,,,131
,HT30,,,,[AB023M],23,23,,,,23
,HT30,,,,[]-[A302]+TA,999302TA,999302T,,,,999302t
,HT31,Haghia Triada,,,TI-SA,TISA,TS,,,,ts
,HT31,,,,PU-KO,PUKO,PK,,,,pk
,HT31,,,,SU-PU,SUPU,SP,,,,sp
,HT31,,,,KA-RO-[AB056],KARO056,KR056,,,,kr056
,HT31,,,,SA-JA-MA,SAJAMA,SJM,,,,sjm
,HT31,,,,SA-YA-MA,SAYAMA,SYM,,,,sym
,HT31,,,,[]-KI-DE-MA-TI-NA,999KIDEMATINA,999KDMTN,,,,999kdmtn
,HT31,,,,[]-KI-DE-MA-PI-NA,999KIDEMAPINA,999KDMPN,,,,999kdmpn
,HT31,,,,SU-NU-RA,SUNURA,SNR,,,,snr
,HT31,,,,PA-TE-QE,PATEQE,PTQ,,,,ptq
,HT32,Haghia Triada,,,PI,PI,P,,,,p
,HT32,,,,SA-RYA,SARYA,SR,,,,sr
,HT32,,,,SU-RE,SURE,SR,,,,sr
,HT33,Haghia Triada,,,SA-RYA,SARYA,SR,,,,sr
,HT33,,,,E+KA,EKA,EK,,,,ek
,HT33,,,,[A341]+PI,341PI,341P,,,,341p
,HT33,,,,[AB056]+QE,056QE,056Q,,,,056q
,HT33,,,,QE+[AB056],QE056,Q056,,,,q056
,HT34,Haghia Triada,,,DA-JU-TE-SI-[B259],DAJUTESI259,DJTS259,,,,djts259
,HT34,,,,DA-YU-TE-SI-[B259],DAYUTESI259,DYTS259,,,,dyts259
,HT34,,,,SA-RYA,SARYA,SR,,,,sr
,HT34,,,,MI-JA-KA,MIJAKA,MJK,,,,mjk
,HT34,,,,MI-YA-KA,MIYAKA,MYK,,,,myk
,HT34,,,,KI-RO,KIRO,KR,,,,kr
,HT35,Haghia Triada,,,TI-TI-KU,TITIKU,TTK,,,,ttk
,HT35,,,,I-KU-TA,IKUTA,IKT,,,,ikt
,HT35,,,,MI-JA-RU,MIJARU,MJR,,,,mjr
,HT35,,,,MI-YA-RU,MIYARU,MYR,,,,myr
,HT36,Haghia Triada,,,JE-DI-PI-[],JEDIPI999,JDP999,,,,jdp999
,HT36,,,,YE-DI-PI-[],YEDIPI999,YDP999,,,,ydp999
,HT36,,,,DU-ZU-WA,DUZUWA,DZW,,,,dzw
,HT37,Haghia Triada,,,MI-JA-RE,MIJARE,MJR,,,,mjr
,HT37,,,,MI-YA-RE,MIYARE,MYR,,,,myr
,HT37,,,,KA-KI,KAKI,KK,,,,kk
,HT37,,,,RE-SU-[],RESU999,RS999,,,,rs999
,HT37,,,,[]-KI-[A310]-RE,999KI310RE,999K310R,,,,999k310r
,HT37,,,,KI-RO-[A353]-KI,KIRO353KI,KR353K,,,,kr353k
,HT37,,,,A+DI,ADI,AD,,,,ad
,HT37,,,,A+NA,ANA,AN,,,,an
,HT38,Haghia Triada,,,A+KA,AKA,AK,,,,ak
,HT38,,,,KA+A,KAA,KA,,,,ka
,HT38,,,,KU+WA,KUWA,KW,,,,kw
,HT38,,,,WA-[A312],WA312,W312,,,,w312
,HT39,Haghia Triada,,,TA-I-[AB123],TAI123,TI123,,,,ti123
,HT39,,,,KU-RE-[],KURE999,KR999,,,,kr999
,HT39,,,,SA-MA-TI,SAMATI,SMT,,,,smt
,HT39,,,,KU-RO,KURO,KR,,,,kr
,HT40,Haghia Triada,,,NU-DU-[A331],NUDU331,ND331,,,,nd331
,HT40,,,,TE-[A120],TE120,T120,,,,t120
,HT40,,,,KI-RO-TA-[A120],KIROTA120,KRT120,,,,krt120
,HT40,,,,QE-TU,QETU,QT,,,,qt
,HT40,,,,MI-DA-NI,MIDANI,MDN,,,,mdn
,HT40,,,,PA-JA,PAJA,PJ,,,,pj
,HT40,,,,PA-YA,PAYA,PY,,,,py
,HT40,,,,TA-SE+SI-TE,TASESITE,TSST,,,,tsst
,HT40,,,,SA-RO,SARO,SR,,,,sr
,HT40,,,,SU-DU,SUDU,SD,,,,sd
,HT40,,,,RE-TU,RETU,RT,,,,rt
,HT43,Haghia Triada,,,MA-SI-DU,MASIDU,MSD,,,,msd
,HT43,,,,PA-[A342]-I,PA342I,P342I,,,,p342i
,HT44a,Haghia Triada,,,I-QA-DWO,IQADWO,IQD,,,,iqd
,HT46a,Haghia Triada,,,MU-RU-[],MURU999,MR999,,,,mr999
,Ht46a,,,,KU-RO,KURO,KR,,,,kr
,HT47a,Haghia Triada,,,KA-[]-TU,KA999TU,K999T,,,,k999t
,HT47a,,,,NA-TU,NATU,NT,,,,nt
,HT47a,,,,U-[]-PI,U999PI,U999P,,,,u999p
,HT47a,,,,KI-DA-RO-[],KIDARO999,KDR999,,,,kdr999
,HT47a,,,,MI-NU-MI,MINUMI,MNM,,,,mnm
,HT47b,Haghia Traida,,,RA-NA-RE-[],RANARE999,RNR999,,,,rnr999
,HT49a,Haghia Triada,,,SA-RYA-DU,SARYADU,SRD,,,,srd
,HT49a,,,,QA-RYA-DU,QARYADU,QRD,,,,qrd
,HT49a,,,,TA-NA-TI,TANATI,TNT,,,,tnt
,HT49a,,,,SU-KI,SUKI,SK,,,,sk
,HT49a,,,,TI-DU-NI,TIDUNI,TDN,,,,tdn
,HT49a,,,,[]-SI-RA,999SIRA,999SR,,,,999sr
,HT49a,,,,A-RU,ARU,AR,,,,ar
,HT49a,,,,TU-SU-PHU,TUSUPHU,TSP,,,,tsp
,HT51b,Haghia Triada,,,KU-MU-TA,KUMUTA,KMT,,,,kmt
,HT52,Haghia Triada,,,SA-MA,SAMA,SM,,,,sm
,HT52,,,,TE,TE,T,,,,t
,HT52,,,,DI-KA-KI-[],DIKAKI999,DKK999,,,,dkk999
,HT53a,Haghia Triada,,,SA-NE-[],SANE999,SN999,,,,sn999
,HT53b,Haghia Triada,,,KU-RO,KURO,KR,,,,kr
,HT54a,,,,KU-MI-NA-QE-[],KUMINAQE999,KMNQ999,,,,kmnq999
,HT54a,,,,[]-KI-MI-RA,999KIMIRA,999KMR,,,,999kmr
,HT55a,Haghia Triada,,,KI-RO,KIRO,KR,,,,kr
,HT55a,,,,MA-RE,MARE,MR,,,,mr
,HT55a,,,,TE,TE,T,,,,t
,HT55a,,,,SI-RU,SIRU,SR,,,,sr
,HT55b,Haghia Triada,,,[]-WE-JA,999WEJA,999WJ,,,,999wj
,HT55b,,,,[]-WE-YA,999WEYA,999WY,,,,999wy
,HT57a,Haghia Triada,,,DA-QE-RA-[],DAQERA999,DQR999,,,,dqr999
,HT58,Haghia Triada,,,QE-TI-RA-DU,QETIRADU,QTRD,,,,qtrd
,HT58,,,,[]-U-KI,999UKI,999UK,,,,999uk
,HT60,Haghia Triada,,,[]-TO-WA-TO,999TOWATO,999TWT,,,,999twt
,HT60,,,,QA+PU-[A709],QAPU709,QP709,,,,qp709
,HT61,Haghia Triada,,,MI-TI-[A579],MITI579,MT579,,,,mt579
,HT62,Haghia Triada,,,SA-RA,SARA,SR,,,,sr
,HT62,,,,TE,TE,T,,,,t
,HT62,,,,KA-KU,KAKU,KK,,,,kk
,HT62,,,,I-TI,ITI,IT,,,,it
,HT63,Haghia Triada,,,TE,TE,T,,,,t
,HT63,,,,KA-TI,KATI,KT,,,,kt
,HT63,,,,SU-PU,SUPU,SP,,,,sp
,HT64,Haghia Triada,,,KU-[]-NA,KU999NA,K999N,,,,k999n
,HT64,,,,RU-MA-[],RUMA999,RM999,,,,rm999
,HT66,Haghia Triada,,,TA-MI-[],TAMI999,TM999,,,,tm999
,HT67,Haghia Triada,,,KU-RO,KURO,KR,,,,kr
,HT73,Haghia Triada,,,PA-I-KI-[],PAIKI999,PIK999,,,,pik999
,HT73,,,,SA-RO-QE-[],SAROQE999,SRQ999,,,,srq999
,HT74,Haghia Triada,,,KU-RO,KURO,KR,,,,kr
,HT75,Haghia Triada,,,KA-RU,KARU,KR,,,,kr
,HT79,Haghia Triada,,,[]-TU-PA-RI,999TUPARI,999TPR,,,,999tpr
,HT79,,,,[]-KU-NI-[],999KUNI999,999KN999,,,,999kn999
,HT80,Haghia Triada,,,JU-RA,JURA,JRM,,,,jrm
,HT80,,,,YU-RA,YURA,YRM,,,,yrm
,HT81,Haghia Triada,,,A-SE,ASE,AS,,,,as
,HT81,,,,MI+JA+RU,MIJARU,MJR,,,,mjr
,HT81,,,,MI+YA+RU,MIYARU,MYR,,,,myr
,HT81,,,,RI-SU-MA-[A709]-KI,RISUMA709KI,RSM709K,,,,rsm709k
,HT84,Haghia Triada,,,JA-DU-[],JADU999,JD999,,,,jd999
,HT84,,,,YA-DU-[],YADU999,YD999,,,,yd999
,HT84,,,,[]-NI-TI,999NITI,999NITI,,,,999niti
,HT85a,Haghia Triada,,,A-DU,ADU,AD,,,,ad
,HT85a,,,,DA-RI-DA,DARIDA,DRD,,,,drd
,HT85a,,,,U-[A325]-ZA,U325ZA,U325Z,,,,u325z
,HT85a,,,,DA-SI,DASI,DS,,,,ds
,HT85a,,,,KU-[AB079]-NI,KU079NI,K079N,,,,k079n
,HT85a,,,,TE-KE,TEKE,TK,,,,tk
,HT85a,,,,DA-SI,DASI,DS,,,,ds
,HT85a,,,,KU-RO-[],KURO999,KR999,,,,kr999
,HT85b,Haghia Triada,,,KI-KI-RA-JA,KIKIRAJA,KKRJ,,,,kkrj
,HT85b,,,,KI-KI-RA-YA,KIKIRAYA,KKRY,,,,kkry
,HT85b,,,,KI-SI-TA,KISITA,KST,,,,kst
,HT85b,,,,QE-KA,QEKA,QK,,,,qk
,HT85b,,,,RO,RO,R,,,,r
,HT85b,,,,TE-TU-[],TETU999,TT999,,,,tt999
,HT85b,,,,KA,KA,K,,,,k
,HT85b,,,,DI,DI,D,,,,d
,HT85b,,,,[AB024]-ZA,024ZA,024Z,,,,024z
,HT85b,,,,SI-DI-SE,SIDISE,SDS,,,,sds
,HT85b,,,,WA-DU-NI-MI,WADUNIMI,WDNM,,,,wdnm
,HT85b,,,,MA-DI,MADI,MD,,,,md
,HT85b,,,,QA-[A310]-I,QA310I,Q310I,,,,q310i
,HT86a,Haghia Triada,,,A-KA-RU,AKARU,AKR,,,,akr
,HT86a,,,,KU-NI-SI,KUNISI,KNS,,,,kns
,HT86a,,,,SA-RU,SARU,SR,,,,sr
,HT86a,,,,DI-MA-RU,DIMARU,DMR,,,,dmr
,HT86a,,,,QA-RA-WA,QARAWA,QRW,,,,qrw
,HT86a,,,,A-DU,ADU,AD,,,,ad
,HT86a,,,,DA,DA,D,,,,d
,HT86a,,,,MI-NU-TE,MINUTE,MNT,,,,mnt
,HT86b,Haghia Triada,,,A-KA-RU,AKARU,AKR,,,,akr
,HT86b,,,,KU-NI-SI,KUNISI,KNS,,,,kns
,HT86b,,,,SA-RU,SARU,SR,,,,sr
,HT86b,,,,DI-MA,DIMA,DM ,,,,dm 
,HT87,Haghia Triada,,,TU-NE,TUNE,TN,,,,tn
,HT87,,,,MA-KA-RI-TE,MAKARITE,MKRT,,,,mkrt
,HT87,,,,PI-TA-KE-SI,PITAKESI,PTKS,,,,ptks
,HT87,,,,JA-RE-MI,JAREMI,JRM,,,,jrm
,HT87,,,,YA-RE-MI,YAREMI,YRM,,,,yrm
